id,group,start_date,term,area,name,end_date
31,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Šilainių  (Nr. 11) apygardoje,Rimantas Jonas Dagys,
33749,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Kauno kaimiškoji  (Nr. 66) apygardoje,Donatas Jankauskas,
34360,Partija Tvarka ir teisingumas,2012-11-17,11,Mažeikių  (Nr. 38) apygardoje,Kęstutis Bartkevičius,
34422,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,Marių  (Nr. 21) apygardoje,Eligijus Masiulis,
34505,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Pajūrio  (Nr. 22) apygardoje,Pranas Žeimys,
36032,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Centro  (Nr. 13) apygardoje,Vincė Vaidevutė Margevičienė,
36146,Lietuvos socialdemokratų partija,2012-11-17,11,Lazdijų - Druskininkų  (Nr. 71) apygardoje,Kristina Miškinienė,
37063,Lietuvos socialdemokratų partija,2012-11-17,11,Dainų  (Nr. 25) apygardoje,Valerijus Simulik,
37153,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,pagal sąrašą,Remigijus Šimašius,2015-04-20
37812,Lietuvos socialdemokratų partija,2012-11-17,11,Kelmės  (Nr. 41) apygardoje,Alma Monkauskaitė,
38116,Lietuvos socialdemokratų partija,2012-11-17,11,Šakių  (Nr. 64) apygardoje,Mindaugas Bastys,
38456,Darbo partija,2012-11-17,11,pagal sąrašą,Gediminas Jakavonis,
38848,Darbo partija,2012-11-17,11,Trakų - Elektrėnų  (Nr. 58) apygardoje,Dangutė Mikutienė,
39007,Lietuvos socialdemokratų partija,2012-11-17,11,Marijampolės  (Nr. 29) apygardoje,Albinas Mitrulevičius,
39606,Darbo partija,2012-11-17,11,pagal sąrašą,Artūras Paulauskas,
43842,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,pagal sąrašą,Dalia Teišerskytė,
43989,Darbo partija,2012-11-17,11,pagal sąrašą,Jonas Kondrotas,
43,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Emanuelis Zingeris,
44850,Lietuvos socialdemokratų partija,2012-11-17,11,Raseinių  (Nr. 42) apygardoje,Edmundas Jonyla,
45101,Darbo partija,2012-11-17,11,Naujosios Vilnios  (Nr. 10) apygardoje,Sergej Ursul,
45771,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,pagal sąrašą,Petras Auštrevičius,2014-06-27
47204,Darbo partija,2012-11-17,11,pagal sąrašą,Viktor Uspaskich,2014-06-03
47225,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Egidijus Vareikis,
47229,Lietuvos socialdemokratų partija,2012-11-17,11,Šilutės - Pagėgių  (Nr. 32) apygardoje,Artūras Skardžius,
47235,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Giedrė Purvaneckienė,
47484,Lietuvos lenkų rinkimų akcija,2012-11-17,11,pagal sąrašą,Vanda Kravčionok,
47811,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Kęstutis Masiulis,
47836,Lietuvos socialdemokratų partija,2012-11-17,11,Aušros  (Nr. 23) apygardoje,Edvardas Žakaris,
47839,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Pramonės  (Nr. 17) apygardoje,Kazys Starkevičius,
47842,Darbo partija,2012-11-17,11,pagal sąrašą,Vydas Gedvilas,
47844,Darbo partija,2012-11-17,11,pagal sąrašą,Kęstutis Daukšys,
47850,Darbo partija,2012-11-17,11,Telšių  (Nr. 40) apygardoje,Valentinas Bukauskas,
47852,Partija Tvarka ir teisingumas,2012-11-17,11,pagal sąrašą,Remigijus Ačas,
47856,Darbo partija,2012-11-17,11,Akmenės - Joniškio  (Nr. 39) apygardoje,Saulius Bucevičius,
47860,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Panemunės  (Nr. 18) apygardoje,Vida Marija Čigriejienė,
47861,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Marija Aušrinė Pavilionienė,
47865,Darbo partija,2012-11-17,11,pagal sąrašą,Zita Žvikienė,
