id,name,area,term,start_date,image,group,source_url,end_date,given_name,middle_name,family_name
14393,Березкін Станіслав Семенович,Виборчому округу №100,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d100_1.jpg,"Член депутатської групи ""Партія ""Відродження""",http://itd.rada.gov.ua/mps/info/page/14393,,Семенович,Станіслав,Березкін
18027,Березюк Олег Романович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/sp28.jpg,"Голова депутатської фракції Політичної партії ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/18027,,Романович,Олег,Березюк
15684,Бєлькова Ольга Валентинівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp47.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15684,,Валентинівна,Ольга,Бєлькова
18065,Білецький Андрій Євгенійович,Виборчому округу №217,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d217_1.jpg,Не входить до складу будь-якої фракції,http://itd.rada.gov.ua/mps/info/page/18065,,Євгенійович,Андрій,Білецький
8723,Білий Олексій Петрович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/ob5.jpg,"Член депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",http://itd.rada.gov.ua/mps/info/page/8723,,Петрович,Олексій,Білий
3471,Біловол Олександр Миколайович,Виборчому округу №180,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d180_1.jpg,"Член депутатської групи ""Партія ""Відродження""",http://itd.rada.gov.ua/mps/info/page/3471,,Миколайович,Олександр,Біловол
15829,Бобов Геннадій Борисович,Виборчому округу №196,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d196_1.jpg,"Член депутатської групи ""Партія ""Відродження""",http://itd.rada.gov.ua/mps/info/page/15829,,Борисович,Геннадій,Бобов
17972,Богомолець Ольга Вадимівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp3.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17972,,Вадимівна,Ольга,Богомолець
8725,Богуслаєв Вячеслав Олександрович,Виборчому округу №77,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d77_1.jpg,"Член депутатської групи ""Воля народу""",http://itd.rada.gov.ua/mps/info/page/8725,,Олександрович,Вячеслав,Богуслаєв
16698,Бойко Олена Петрівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf66.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/16698,,Петрівна,Олена,Бойко
11094,Бойко Юрій Анатолійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/ob1.jpg,"Голова депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",http://itd.rada.gov.ua/mps/info/page/11094,,Анатолійович,Юрій,Бойко
15826,Бондар Віктор Васильович,Виборчому округу №191,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d191_1.jpg,"Співголова депутатської групи групи ""Партія ""Відродження""",http://itd.rada.gov.ua/mps/info/page/15826,,Васильович,Віктор,Бондар
18066,Бондар Михайло Леонтійович,Виборчому округу №119,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d119_1.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/18066,,Леонтійович,Михайло,Бондар
17998,Брензович Василь Іванович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp62.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17998,,Іванович,Василь,Брензович
15796,Бриченко Ігор Віталійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf47.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15796,,Віталійович,Ігор,Бриченко
15802,Бублик Юрій Васильович,Виборчому округу №145,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d145_1.jpg,Не входить до складу будь-якої фракції,http://itd.rada.gov.ua/mps/info/page/15802,,Васильович,Юрій,Бублик
