id,name,area,area_id,image,term,source,district,party,birth_year
mammedow-orazmammet-saparmammedowic,Orazmämmet Saparmämmedowiç Mämmedow,13,Ruhabat,http://mejlis2.bushluk.com/site/assets/files/14481/13-mammedow-o_s.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/mammedow-orazmammet-saparmammedowic/,Aşgabat ş.,"",1984
nurberdiyewa-akja-tajiyewna,Akja Täjiýewna Nurberdiýewa,14,Abadan,http://mejlis2.bushluk.com/site/assets/files/14482/14---nurberdiyewa-a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nurberdiyewa-akja-tajiyewna/,Aşgabat ş.,"",1957
amanow-bekmyrat-annaberdiyewic,Bekmyrat Annaberdiýewiç Amanow,15,Gökje,http://mejlis2.bushluk.com/site/assets/files/14483/15-amanow-b_a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/amanow-bekmyrat-annaberdiyewic/,Aşgabat ş.,"",1966
arabow-amandurdy-annagurbanowic,Amandurdy Annagurbanowiç Arabow,16,Arçman,http://mejlis2.bushluk.com/site/assets/files/14484/16-arabow-a_g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/arabow-amandurdy-annagurbanowic/,Ahal welaýaty,"",1960
ilgeldiyew-amangeldi-amanberdiyewic,Amangeldi Amanberdiýewiç Ilgeldiýew,17,Baharly,http://mejlis2.bushluk.com/site/assets/files/14485/17-ilgeldiyew-a_a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ilgeldiyew-amangeldi-amanberdiyewic/,Ahal welaýaty,"",1979
komekow-nury-babayewic,Nury Babaýewiç Kömekow,18,Gökdepe,http://mejlis2.bushluk.com/site/assets/files/14486/18--komekow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/komekow-nury-babayewic/,Ahal welaýaty,"",1980
ishangulyyew-resul-gurbangulyyewic,Resul Gurbangulyýewiç Işangulyýew,19,Yzgant,http://mejlis2.bushluk.com/site/assets/files/14487/19--isangulyyew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ishangulyyew-resul-gurbangulyyewic/,Ahal welaýaty,"",1974
atalyyew-bekmyrat-sahetmyradowic,Bekmyrat Sähetmyradowiç Atalyýew,20,Derweze,http://mejlis2.bushluk.com/site/assets/files/14488/20-atalyyew-b_s.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/atalyyew-bekmyrat-sahetmyradowic/,Ahal welaýaty,"",1976
babayew-kasymguly-gulmyradowic,Kasymguly Gulmyradowiç Babaýew,21,Änew,http://mejlis2.bushluk.com/site/assets/files/14489/21-babayew-k_g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babayew-kasymguly-gulmyradowic/,Ahal welaýaty,"",1966
orayew-mowlam,Möwlam Öräýew,22,Ak bugdaý,http://mejlis2.bushluk.com/site/assets/files/14490/22--orayew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/orayew-mowlam/,Ahal welaýaty,"",1961
gojenowa-ayshat-muhametdurdyyewna,Aýşat Muhametdurdyýewna Göjenowa,23,Kaka,http://mejlis2.bushluk.com/site/assets/files/14491/23--gojenowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gojenowa-ayshat-muhametdurdyyewna/,Ahal welaýaty,"",1973
sapardurdyyewa-altynjemal-muhammedowna,Altynjemal Muhammedowna Sapardurdyýewa,24,Duşak,http://mejlis2.bushluk.com/site/assets/files/14492/24-sapardurdyyewa-a_m.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/sapardurdyyewa-altynjemal-muhammedowna/,Ahal welaýaty,"",1973
caryyew-ahmet-amangeldiyewic,Ahmet Amangeldiýewiç Çaryýew,25,Tejen,http://mejlis2.bushluk.com/site/assets/files/14493/25--caryyew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/caryyew-ahmet-amangeldiyewic/,Ahal welaýaty,"",1974
ishanow-shatlyk-gurbanowic,Şatlyk Gurbanowiç Işanow,26,Berkarar,http://mejlis2.bushluk.com/site/assets/files/14494/26-isanow-s_g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ishanow-shatlyk-gurbanowic/,Ahal welaýaty,"",1976
hudaynazarow-pirnazar,Pirnazar Hudaýnazarow,27,Göniamaşa,http://mejlis2.bushluk.com/site/assets/files/14495/27--hudaynazarow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hudaynazarow-pirnazar/,Ahal welaýaty,"",1958
myradowa-bayramsoltan,Baýramsoltan Myradowa,28,Babadaýhan,http://mejlis2.bushluk.com/site/assets/files/14496/28--myradowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/myradowa-bayramsoltan/,Ahal welaýaty,"",1969
bayramow-shageldi,Şageldi Baýramow,29,Altyn Asyr,http://mejlis2.bushluk.com/site/assets/files/14497/29-bayramow-s.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/bayramow-shageldi/,Ahal welaýaty,"",1965
gylycyazowa-bahar-durdyyewna,Bahar Durdyýewna Gylyçýazowa,30,Sarahs,http://mejlis2.bushluk.com/site/assets/files/14498/30-gylycyazowa-bd.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gylycyazowa-bahar-durdyyewna/,Ahal welaýaty,"",1977
taylyyew-atamyrat-baymyradowic,Atamyrat Baýmyradowiç Taýlyýew,31,Balkan,http://mejlis2.bushluk.com/site/assets/files/14499/31--taylyyew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/taylyyew-atamyrat-baymyradowic/,Balkan welaýaty,"",1969
mamiyewa-bahargul-amanmyradowna,Mämiýewa Bahargül Amanmyradowna,32,Balkanabat,http://mejlis2.bushluk.com/site/assets/files/14500/32-mamiyewa-ba.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/mamiyewa-bahargul-amanmyradowna/,Balkan welaýaty,"",""
orazmammedow-kadyr-gurbanberdiyewic,Kadyr Gurbanberdiýewiç Orazmämmedow,33,Daşrabat,http://mejlis2.bushluk.com/site/assets/files/14501/33-orazmammedow-kg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/orazmammedow-kadyr-gurbanberdiyewic/,Balkan welaýaty,"",1982
shihnepesow-amannepes-goyuncyyewic,Amannepes Goýunçyýewiç Şihnepesow,34,Awaza,http://mejlis2.bushluk.com/site/assets/files/14502/34-syhnepesow-ag.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/shihnepesow-amannepes-goyuncyyewic/,Balkan welaýaty,"",1965
yazmammedow-balahmet,Balahmet Ýazmämmedow,35,Türkmenbaşy,http://mejlis2.bushluk.com/site/assets/files/14503/35-yazmammedow-b.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/yazmammedow-balahmet/,Balkan welaýaty,"",1958
annataganow-dowran-nepestaganowic,Döwran Nepestaganowiç Annataganow,36,Bereket,http://mejlis2.bushluk.com/site/assets/files/14504/36-annataganow-dn.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/annataganow-dowran-nepestaganowic/,Balkan welaýaty,"",1974
nyyazmammedow-jumaberdi-taganberdiyewic,Jumaberdi Taganberdiýewiç Nyýazmämmedow,37,Esenguly,http://mejlis2.bushluk.com/site/assets/files/14505/37-nyyazmammedow-jt.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nyyazmammedow-jumaberdi-taganberdiyewic/,Balkan welaýaty,"",1977
gurbanberdiyewa-gowher,Göwher Gurbanberdiýewa,38,Serdar,http://mejlis2.bushluk.com/site/assets/files/14506/38-gurbanberdiyewa-g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbanberdiyewa-gowher/,Balkan welaýaty,"",1974
owluyagulyyew-nerce-aydogdyyewic,Nerçe Aýdogdyýewiç Öwlüýägulyýew,39,Magtymguly,http://mejlis2.bushluk.com/site/assets/files/14507/39-owlyagulyyew-na.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/owluyagulyyew-nerce-aydogdyyewic/,Balkan welaýaty,"",1976
nuryyew-amanmyrat-nurgeldiyewic,Amanmyrat Nurgeldiýewiç Nuryýew,40,Gumdag,http://mejlis2.bushluk.com/site/assets/files/14508/40-nuryyew-an.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nuryyew-amanmyrat-nurgeldiyewic/,Balkan welaýaty,"",1982
nepesowa-tazegul-hakberdiyewna,Täzegül Hakberdiýewna Nepesowa,41,Daşoguz,http://mejlis2.bushluk.com/site/assets/files/14509/41--nepesowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nepesowa-tazegul-hakberdiyewna/,Daşoguz welaýaty,"",1962
nurmetow-farhad-kadambayewic,Farhad Kadambaýewiç Nurmetow,42,Şabat,http://mejlis2.bushluk.com/site/assets/files/14510/42-nurmetow-fk.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nurmetow-farhad-kadambayewic/,Daşoguz welaýaty,"",1971
geldinyyazow-mammetmyrat,Mämmetmyrat Geldinyýazow,43,Altynýol,http://mejlis2.bushluk.com/site/assets/files/14511/43-geldinyyazow-m.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/geldinyyazow-mammetmyrat/,Daşoguz welaýaty,"",1971
otuzowa-aynabat-amangeldiyewna,Aýnabat Amangeldiýewna Otuzowa,44,Diýar,http://mejlis2.bushluk.com/site/assets/files/14512/44--otuzowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/otuzowa-aynabat-amangeldiyewna/,Daşoguz welaýaty,"",1967
allabayew-maksat-gayypnazarowic,Maksat Gaýypnazarowiç Allabaýew,45,Akdepe,http://mejlis2.bushluk.com/site/assets/files/14513/45-allabayew-mg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/allabayew-maksat-gayypnazarowic/,Daşoguz welaýaty,"",1975
hallyyew-hally-rejepowic,Hally Rejepowiç Hallyýew,46,Nowruz,http://mejlis2.bushluk.com/site/assets/files/14514/46-hallyyew-hr.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hallyyew-hally-rejepowic/,Daşoguz welaýaty,"",1959
jumanazarow-nurmyrat-ashyrowic,Nurmyrat Aşyrowiç Jumanazarow,47,Rowaçlyk,http://mejlis2.bushluk.com/site/assets/files/14515/47-jumanazarow-na.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/jumanazarow-nurmyrat-ashyrowic/,Daşoguz welaýaty,"",1976
garabayewa-bayramgul-gurbanmyradowna,Baýramgül Gurbanmyradowna Garabaýewa,48,Boldumsaz,http://mejlis2.bushluk.com/site/assets/files/14516/48-garabayewa-bg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/garabayewa-bayramgul-gurbanmyradowna/,Daşoguz welaýaty,"",1976
tuwakow-merdan-bayramdurdyyewic,Merdan Baýramdurdyýewiç Tuwakow,49,Görogly,http://mejlis2.bushluk.com/site/assets/files/14517/49--tuwakow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/tuwakow-merdan-bayramdurdyyewic/,Daşoguz welaýaty,"",1971
hudaynazarowa-jemal-seyitjanowna,Jemal Seýitjanowna Hudaýnazarowa,50,Yzmykşir,http://mejlis2.bushluk.com/site/assets/files/14518/50-hudaynazarowa-js.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hudaynazarowa-jemal-seyitjanowna/,Daşoguz welaýaty,"",1974
seyilow-bayly-toylyyewic,Baýly Toýlyýewiç Seýilow,51,Aksaraý,http://mejlis2.bushluk.com/site/assets/files/14519/51--seyilow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/seyilow-bayly-toylyyewic/,Daşoguz welaýaty,"",1959
owezgeldiyew-serdar-cowdyrowic,Serdar Çowdyrowiç Öwezgeldiýew,52,Gubadag,http://mejlis2.bushluk.com/site/assets/files/14520/52-owezgeldiyew-sc.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/owezgeldiyew-serdar-cowdyrowic/,Daşoguz welaýaty,"",1977
rejepdurdyyewa-abadan-amanmyradowna,Abadan Amanmyradowna Rejepdurdyýewa,53,Baýdak,http://mejlis2.bushluk.com/site/assets/files/14521/53-rejepdurdyyewa-aa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/rejepdurdyyewa-abadan-amanmyradowna/,Daşoguz welaýaty,"",1980
