id,name__zh,name__en,image,term,source,wikiname__zh,name
chan_hong,陳虹,CHAN HONG,http://www.al.gov.mo/dep_2013/img/27.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan%20hong.htm,"",CHAN HONG
lei_cheng_i,李靜儀,LEI CHENG I,http://www.al.gov.mo/dep_2013/img/31.jpg,10,http://www.al.gov.mo/dep_2013/cn/lei%20cheng%20i.htm,zh-yue:李靜儀 (議員),LEI CHENG I
kwan_tsui_hang,關翠杏,KWAN TSUI HANG,http://www.al.gov.mo/dep_2013/img/06.jpg,10,http://www.al.gov.mo/dep_2013/cn/kwan_tsui_hang.htm,關翠杏,KWAN TSUI HANG
ng_kuok_cheong,吳國昌,NG KUOK CHEONG,http://www.al.gov.mo/dep_2013/img/08.jpg,10,http://www.al.gov.mo/dep_2013/cn/ng_kuok_cheong.htm,吳國昌,NG KUOK CHEONG
au_kam_san,區錦新,AU KAM SAN,http://www.al.gov.mo/dep_2013/img/13.jpg,10,http://www.al.gov.mo/dep_2013/cn/au_kam_san.htm,區錦新,AU KAM SAN
jose_pereira,高天賜,JOSÉ MARIA PEREIRA COUTINHO,http://www.al.gov.mo/dep_2013/img/15.jpg,10,http://www.al.gov.mo/dep_2013/cn/jose_pereira.htm,高天賜,JOSÉ MARIA PEREIRA COUTINHO
leong_on_kei,梁安琪,LEONG ON KEI,http://www.al.gov.mo/dep_2013/img/17a.jpg,10,http://www.al.gov.mo/dep_2013/cn/leong_on_kei.htm,梁安琪 (澳門),LEONG ON KEI
chan_meng_kam,陳明金,CHAN MENG KAM,http://www.al.gov.mo/dep_2013/img/18.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan_meng_kam.htm,陳明金,CHAN MENG KAM
mak_soi_kun,麥瑞權,MAK SOI KUN,http://www.al.gov.mo/dep_2013/img/20.jpg,10,http://www.al.gov.mo/dep_2013/cn/mak%20soi%20kun.htm,麥瑞權,MAK SOI KUN
ho_ion_sang,何潤生,HO ION SANG,http://www.al.gov.mo/dep_2013/img/22.jpg,10,http://www.al.gov.mo/dep_2013/cn/ho%20ion%20sang.htm,何潤生,HO ION SANG
chan_mei_yi,陳美儀,"CHAN, MELINDA MEI YI",http://www.al.gov.mo/dep_2013/img/23.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan_mei_yi.htm,"","CHAN, MELINDA MEI YI"
