incoming_name,existing_name,confidence
Khalid Pashtoon,KHalid Pashton,95.65217391304348
Shah Gul Rezai,Shahgul Rezai,94.73684210526315
Ali Akbar Qasimi,Ali Akbar Qausimi,86.95652173913044
Sahira Sharif,"sahira sharif , khost",83.33333333333334
Habibullah Jan,ATAULLAH JAN HABIB,83.33333333333334
Farkhunda Zahra Naderi,Farkhonda Zahra Nadri,78.78787878787878
Mohammad Arif Noorzai,mohammad noor akbari,77.41935483870968
Abdul Rauf Ibrahimi,Abdulraoof Ebrahimi,73.33333333333333
Anwar Khan Auriakhel,Anwar khan oryakheel,73.33333333333333
Mirwais Yasini,Meer wais yasini,72.72727272727273
Ahmad Khan Samangani,"ahmad khan samanghani , samanghan",71.7948717948718
Shukria Barakzai,SHokria barikzai,69.23076923076923
Rangina Kargar,Ranghena karghar,66.66666666666666
Obaidullah,"obaidullah ramin , baghlan",64.28571428571429
Amir Khan Sabri,Amir Khan Yaar,63.1578947368421
Hameedullah Khan Tokhi,"mohammadullah tokhi , zabul",59.45945945945946
Abdul Qayyum Sajjadi,"Dr.abdul qaum sajadi , samanghan",57.89473684210527
