name,wikipedia__en,area,group,area_id,term,source,id
Andrew A. Fahie,"",District 1,VIP,1,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",andrew_a._fahie
J. Alvin Christopher,Alvin Christopher,District 2,VIP,2,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",alvin_christopher
Julian Fraser,Julian Fraser,District 3,VIP,3,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",julian_fraser
Mark Vanterpool,"",District 4,NDP,4,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",mark_vanterpool
Delores Christopher,"",District 5,NDP,5,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",delores_christopher
Alvera Maduro-Caines,"",District 6,NDP,6,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",alvera_maduro-caines
Kedrick Pickering,"",District 7,NDP,7,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",kedrick_pickering
Marlon Penn,"",District 8,NDP,8,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",marlon_penn
Ralph T. O'Neal,Ralph T. O'Neal,District 9,VIP,9,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",ralph_t._o'neal
Andrew A. Fahie,"",District 1,VIP,1,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",andrew_a._fahie
J. Alvin Christopher,Alvin Christopher,District 2,IND,2,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",alvin_christopher
Julian Fraser,Julian Fraser,District 3,VIP,3,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",julian_fraser
Vincent Gregory Scatliffe,"",District 4,VIP,4,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",vincent_gregory_scatliffe
Elvis Jerome Harrigan,"",District 5,VIP,5,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",elvis_jerome_harrigan
Omar Wallace Hodge,Omar Hodge,District 6,VIP,6,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",omar_hodge
Kedrick Pickering,"",District 7,NDP,7,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",kedrick_pickering
Dancia Penn-Sallah,Dancia Penn,District 8,VIP,8,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",dancia_penn
Ralph T. O'Neal,Ralph T. O'Neal,District 9,VIP,9,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",ralph_t._o'neal
Orlando Smith,Orlando Smith,At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",orlando_smith
Myron Walwyn,Myron Walwyn,At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",myron_walwyn
Ronnie Skelton,"",At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",ronnie_skelton
Archibald Christian,"",At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",archibald_christian
Irene Penn-O'Neal,"",At large,VIP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",irene_penn-o'neal
Vernon Elroy Malone,"",At large,VIP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",vernon_elroy_malone
Keith L. Flax,"",At large,VIP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",keith_l._flax
Orlando Smith,Orlando Smith,At large,NDP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",orlando_smith
Andrew Fahie,"",District 1,VIP,1,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",andrew_fahie
Melvin Turnbull Jr.,"",District 2,NDP,2,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",melvin_turnbull_jr.
Julian Fraser,Julian Fraser,District 3,VIP,3,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",julian_fraser
Mark Vanterpool,"",District 4,NDP,4,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",mark_vanterpool
Delores Christopher,"",District 5,NDP,5,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",delores_christopher
Alvera Maduro-Caines,"",District 6,NDP,6,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",alvera_maduro-caines
Kedrick Pickering,"",District 7,NDP,7,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",kedrick_pickering
Marlon Penn,"",District 8,NDP,8,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",marlon_penn
Hubert O'Neal,"",District 9,NDP,9,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",hubert_o'neal
Myron Walwyn,Myron Walwyn,At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",myron_walwyn
Orlando Smith,Orlando Smith,At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",orlando_smith
Ronnie Skelton,"",At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",ronnie_skelton
