constituency,name,party,term,source,id,phone,image
South Choiseul,"Muala, Hon. Elijah Doro",Independent,10,http://www.parliament.gov.sb/index.php?q=node/862,862,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Elijah%20Doro%20Muala.jpg
North-West Choiseul,"Sadakabatu, Hon. Connelly Mathew",Democratic Alliance Party,10,http://www.parliament.gov.sb/index.php?q=node/867,867,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Connelly%20Sandakabatu.jpg
East Choiseul,"Sogavare, Hon. Manasseh Damukana",Independent,10,http://www.parliament.gov.sb/index.php?q=node/846,846,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Manasseh%20Sogavare.JPG
Shortlands,"Laore, Hon. Christopher",Independent,10,http://www.parliament.gov.sb/index.php?q=node/856,856,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Christopher%20Laore.jpg
North Vella La Vella,Milner TOZAKA,People's Alliance Party,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results,,,
South Vella Lavella,"Qora, Hon. Lionel Alex",Independent,10,http://www.parliament.gov.sb/index.php?q=node/866,866,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Lionel%20Alex.jpg
Rannonga-Simbo,"Sigoto, Hon. Charles",Independent,10,http://www.parliament.gov.sb/index.php?q=node/871,871,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Charles%20Sigoto.jpg
Gizo-Kolombangara,"Tanangada, Hon. Jimson Fiau",United Democratic Party,10,http://www.parliament.gov.sb/index.php?q=node/833,,,
West New Georgia-Vona Vona,"Tausinga, Hon. Silas Kerry Vaqara",Solomon Islands Party for Rural Advancement,10,http://www.parliament.gov.sb/index.php?q=node/874,874,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Silas%20Tausinga.JPG
South New Georgia-Rendova-Tetepari,"Philip, Hon. Danny",United Democratic Party,10,http://www.parliament.gov.sb/index.php?q=node/865,865,+677 38255/38256,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Danny%20Philip.jpg
North New Georgia,"Kuku, Hon. John Dean",Independent,10,http://www.parliament.gov.sb/index.php?q=node/920,920,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_John_Dean_Kuku.JPG
Marovo,"Rini, Hon. Snyder",Independent,10,http://www.parliament.gov.sb/index.php?q=node/849,849,+677 22556/22557/22558,http://www.parliament.gov.sb/memberfiles%5Cmemberpics%5Crini.jpg
Hograno-Kia-Havulei,"Manele, Hon. Jeremiah",Democratic Alliance Party,10,http://www.parliament.gov.sb/index.php?q=node/935,935,+677 28052,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Jeremiah%20Manele.jpg
Maringe-Kokota,"Togamana, Hon. Dr. Culwick",Independent,10,http://www.parliament.gov.sb/index.php?q=node/833,,,
Gao-Bugotu,"Manetoali, Hon. Samuel",Independent,10,http://www.parliament.gov.sb/index.php?q=node/860,860,+677 23031/23032,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Samuel_Manetoali.JPG
North Malaita,"Lusibaea, Hon. Jimmy",Independent,10,http://www.parliament.gov.sb/index.php?q=node/929,929,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Jimmy%20Lusibaea.jpg
Lau-Mbaelelea,"Maeue, Hon. Augustine Auga",Independent,10,http://www.parliament.gov.sb/index.php?q=node/930,930,+677 22143,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Augustine%20Auga.JPG
Baegu/Asifola,"Tome, Hon. David Wanesiofa",Independent,10,http://www.parliament.gov.sb/index.php?q=node/876,876,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics%5CHon.%20David%20Tome.jpg
Fataleka,"Abana, Hon. Steve William",Independent,10,http://www.parliament.gov.sb/index.php?q=node/592,592,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Steve%20Abana.jpg
West Kwara’ae,"Iduri, Hon. Sam Shemuel",Democratic Alliance Party,10,http://www.parliament.gov.sb/index.php?q=node/853,853,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20ShemuelSam%20Iduri.jpg
Central Kwara’ae,"Fiulaua, Hon. Jackson",Independent,10,http://www.parliament.gov.sb/index.php?q=node/506,506,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Jackson_Fiulaua.JPG
East Malaita,"Maelanga, Hon. Manasseh",Independent,10,http://www.parliament.gov.sb/index.php?q=node/857,857,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Manasseh%20Maelanga.jpg
Aoke Langalanga,Matthew C WALE,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results,,,
East Kwaio,"Sofu, Hon. Stanley Festus",Independent,10,http://www.parliament.gov.sb/index.php?q=node/873,873,+677 21141/23430,http://www.parliament.gov.sb/memberfiles/memberpics/sofu.jpg
West Kwaio,"Tom, Hon. Peter",Democratic Alliance Party,10,http://www.parliament.gov.sb/index.php?q=node/875,875,+677 28520,http://www.parliament.gov.sb/memberfiles/memberpics/tom.jpg
East Are’Are,"Manepora’a, Hon Andrew",Kadare Party of Solomon Islands,10,http://www.parliament.gov.sb/index.php?q=node/859,859,+677 28600,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Andrew%20Manepora'a.jpg
West Are’Are,"Maneniaru, Hon. John",Independent,10,http://www.parliament.gov.sb/index.php?q=node/858,858,+677 28604,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20John%20Mane.jpg
Small Malaita,"Houenipwela, Hon. Rick Nelson",Democratic Alliance Party,10,http://www.parliament.gov.sb/index.php?q=node/852,852,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Rick_Houenipwela.JPG
Malaita Outer Islands,"Kealoe, Hon. Martin",Independent,10,http://www.parliament.gov.sb/index.php?q=node/855,855,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Martin%20Kealoe.jpg
Ngella,"Parapolo, Hon. Bartholomew",Independent,10,http://www.parliament.gov.sb/index.php?q=node/833,,,
Savo-Russells,"Panakitasi, Hon. Dickson Mua",Independent,10,http://www.parliament.gov.sb/index.php?q=node/864,864,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Dickson%20Mua.jpg
Rennell-Bellona,"Kaitu’u, Hon. Dr. Tautai Angikimua",United Democratic Party,10,http://www.parliament.gov.sb/index.php?q=node/915,915,+677 20830,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Dr.%20Tautai%20Angikimua%20Kaitu%E2%80%99u.jpg
North-West Guadalcanal,"Dettke, Hon. Horst Heinz Bodo",Independent,10,http://www.parliament.gov.sb/index.php?q=node/503,503,+677 28520,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Bodo%20Dettke.jpg
West Guadalcanal,"Garu, Hon. Moses",Democratic Alliance Party,10,http://www.parliament.gov.sb/index.php?q=node/521,521,+677 28520,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Moses_Garu.JPG
South Guadalcanal,"Pacha, Hon. David Day",Independent,10,http://www.parliament.gov.sb/index.php?q=node/863,863,+677 21552,http://www.parliament.gov.sb/memberfiles/memberpics/pacha.jpg
East Guadalcanal,Bradley TOVOSIA,Independent,10,http://www.siec.gov.sb/index.php/journalist/127-2014-national-general-election-results,,,
East Central Guadalcanal,"Avui, Hon. Ishmael Mali",United Democratic Party,10,http://www.parliament.gov.sb/index.php?q=node/848,848,+677 28395/28396,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Ismael_Avui.jpg
