id,name,start_date,end_date,source
2006,1st Territorial Council,2006-03,2012-03,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
2012,2nd Territorial Council,2012-03,2017,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon
