id,name,area,group,group_id,term,source,national_identity,gender
2010-78,NTANYUNGU Festus,BURURI,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-79,NTANYUNGU Marie Rose,KARUSI,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-80,NTASANO Oscar,MAKAMBA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-81,NTAVYOHANYUMA Pie,KAYANZA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-82,NTAWUNKUNDA Ildephonse,MUYINGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-83,NTIDENDEREZA Joseph,BURURI,FRODEBU NYAKURI,FRODEBU NYAKURI,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-84,NTIMPIRANGEZA Grégoire,GITEGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-85,NTINANIRWA Consolate,MAKAMBA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-86,NUNZUBUMWE Gertrude,NGOZI,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-87,NYABENDA Pascal,BUBANZA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-88,NYENIMIGABO Jean Jacques,GITEGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-89,NZEYIMANA Léontine,MAKAMBA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-90,NZIGAMASABO Jean Baptiste,KIRUNDO,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-91,RUCARAGI Amédée,GITEGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-92,RUKARA Mohamed,BUJUMBURA-Mairie,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-93,RUKUKI Claudine,RUTANA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-94,RURAHINDA Bénigne,BUJUMBURA-Mairie,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-95,RYAHAMA Pasteur,KIRUNDO,UPRONA,UPRONA,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-96,SAHINGUVU Yves,MURAMVYA,UPRONA,UPRONA,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-97,SENDAZIRASA Annonciate,NGOZI,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-98,SIMBAKIRA Etienne,CIBITOKE,UPRONA,UPRONA,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-99,SINDAYIHEBURA Eric,BUJUMBURA-Mairie,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-100,SINDOKOTSE Denise,BUJUMBURA-Rural,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-101,SINOMENYA Salvator,BUJUMB URA-Rural,FRODEBU NYAKURI,FRODEBU NYAKURI,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-102,SINZOTUMA Cyprien,MUYINGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-103,SORONGO Yolande,RUYIGI,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
2010-104,TURINUMUGABO Ildephonse,MUYINGA,CNDD-FDD,CNDD-FDD,2010,http://www.assemblee.bi/spip.php?page=imprimer&id_article=418,,
