name,area_ar,area,image,term,source,end_date,end_reason
Saleh Hashem  Altha'a,طبرق,Tobruk,https://www.temehu.com/pictures1/hor11/5-tobruk.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Nureddin Khalid Abdulhamid,طبرق,Tobruk,https://www.temehu.com/pictures1/hor11/426-tobruk.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Assalhin Abdannabi  Sa'ad,طبرق,Tobruk,https://www.temehu.com/pictures2/hor12/7-tobruk.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muftah Athiyah  Alsha'ari,طبرق,Tobruk,https://www.temehu.com/pictures1/hor11/431-tobruk.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muna Adam Alghithi,القبة,Qubah,https://www.temehu.com/pictures3/hor13/qubbah-muna-adam.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Agila Saleh Egwaider,القبة,Qubah,https://www.temehu.com/pictures1/hor11/1271b-qubbah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Sulthna Masoud  Abdulrahim,شحات + البيضاء + المرج,Cyrene + Byda + Merj,https://www.temehu.com/pictures3/hor13/93-cyrene-bayda4.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Nasereddin Mahni Muftah,شحات,Cyrene,https://www.temehu.com/pictures1/hor11/395-cyrene.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Almuntasir Sa'ad 'Ali,شحات,Cyrene,https://www.temehu.com/pictures3/hor13/32-cyrene.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Idris Omran Adam,البيضاء,Bayda,https://www.temehu.com/pictures1/hor11/409-bayda.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Adam Saleh  Busakhra,البيضاء,Bayda,https://www.temehu.com/pictures1/hor11/55-bayda.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulmuthalib Idris  Hamed,البيضاء,Bayda,https://www.temehu.com/pictures1/hor11/1195-bayda.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Suleiman Khathab 'Awed,المرج,Merj,https://www.temehu.com/pictures2/hor12/825-merj.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulmunaim Jum'aa  Hasan,المرج,Merj,https://www.temehu.com/pictures3/hor13/234-merj.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Faraj Abdullah  Hashem,المرج,Merj,https://www.temehu.com/pictures3/hor13/21-merj.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Rabha Abdulsalam Alfurjani,قصر ليبيا,Qasr Libya,https://www.temehu.com/pictures2/hor12/1452-qasrlibya2.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Khalifa Saleh  Aldghari,قصر ليبيا,Qasr Libya,https://www.temehu.com/pictures1/hor11/415-qaserlibya.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
S'aid Khalid  Esbaqa,توكرة,Tukra,https://www.temehu.com/pictures2/hor12/165-tukra.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Yousif Ibrahim  Hamed,توكرة,Tukra,https://www.temehu.com/pictures3/hor13/855-tukra.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Faraj Ibrahim Khaled,الأبيار,Abyar,https://www.temehu.com/pictures3/hor13/312-abyar.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Sa'ad Abdulqader Albadri,الأبيار,Abyar,https://www.temehu.com/pictures2/hor12/578-abyar.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Amal Muhammed  B'ayyu,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/1373-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aisha Yousef  Althbelqi,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1395-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Siham Salem Serqiwah,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/635-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Asmahan Abdulqader  Bela'oun,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/1112-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Younis Omar  Fennoush,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1693-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibrahim  Fathi  'Ameish,بنغازي,Benghazi,https://www.temehu.com/pictures3/hor13/302-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ali Ramadan Abuz'akouk,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/746-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Thariq Saqer  Aljaroushi,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/52-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abubaker Mustafa  B'airah,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1393-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Adel Faraj Ibrahim Althirah,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1692-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ziyad Saleh  Dghim,بنغازي,Benghazi,https://www.temehu.com/pictures3/hor13/863-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muftah Mraji'a  Ekwider,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1593-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ahmed Shihoub  Alwahdi,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/110-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Esa Muhammed Al'aribi,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/629-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Jalal Saleh  Ashwihdi,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/1108-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ramdan Muhammed Shembesh,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1404-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ism Abdullah  Aljahani,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/1120-benghazi-2.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibrahim Abubaker  Aldarsi,بنغازي,Benghazi,https://www.temehu.com/pictures3/hor13/852-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Sa'ad Muhammed Aljazwi,بنغازي,Benghazi,https://www.temehu.com/pictures2/hor12/1704-benghaz.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Bader Ali Sulieman Musa,بنغازي,Benghazi,https://www.temehu.com/pictures1/hor11/481-benghazi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibrahim Abdullah  Alzaghid,قمينس,Gmines,https://www.temehu.com/pictures2/hor12/166-gmines.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Yousef Muhammed Alfakhri,سلوق,Suluq,https://www.temehu.com/pictures3/hor13/9-slouq.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fathallah Housein Abdulkarim,اجدابيا,Ajdabiya,https://www.temehu.com/pictures3/hor13/fathella-abdulkarim.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Mustafa Ahmed Abdulali,اجدابيا,Ajdabiya,https://www.temehu.com/pictures1/hor11/muhammed-abdulali-mustafa.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Sa'ad Saleh,اجدابيا,Ajdabiya,https://www.temehu.com/pictures2/hor12/564-ejdabiyah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Friha Abdulsalam  Alhadiri,اجدابيا + البريقة,Ajdabiya + Brega,https://www.temehu.com/pictures2/hor12/1490-ejdabiyah-brega2.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Idris Abdullah Faraj,البريقة,Brega,https://www.temehu.com/pictures2/hor12/565-brega.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Saleh Abdulkarim  Efhima,السدرة,Sidra,https://www.temehu.com/pictures1/hor11/345-sidra.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Amer Omran  Aboubaker,السدرة,Sidra,https://www.temehu.com/pictures3/hor13/923-sidra.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aziza Kerkrah Abousetta,سرت,Sirte,https://www.temehu.com/pictures2/hor12/1467-sirte.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Zayed Hadiyah  Aboubaker,سرت,Sirte,https://www.temehu.com/pictures3/hor13/926-sirte.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hasen Saleh  Alzarqa,سرت,Sirte,https://www.temehu.com/pictures3/hor13/972-sirte.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Aboubaker  Omar Muhammed,سرت,Sirte,https://www.temehu.com/pictures1/hor11/348-sirte.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Adnan Fouzi  Alsha'ab,مسلاتة,Msallatah,https://www.temehu.com/pictures2/hor12/67-msellatah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulmun'aim Faraj Alfaqih,مسلاتة,Msallatah,https://www.temehu.com/pictures2/hor12/158-msellatah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Sabah Jum'aa  Faraj,ترهونة,Tarhunah,https://www.temehu.com/pictures1/hor11/1026-tarhouna.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hasen Alfurjani  Salem,ترهونة,Tarhunah,https://www.temehu.com/pictures2/hor12/678-tarhouna.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
