incoming_name,existing_name,confidence
Philip J Pierre,Philip Pierre,100.0
Shawn Edward,Shawn Edwards,94.73684210526315
Dr. Gale Rigobert,Gale Rigobert,90.9090909090909
Dr. Desmond Long,Desmond Long,90.0
Dr. Kenny D. Anthony,Kenny Anthony,86.95652173913044
Moses Jn Baptiste,Moses Jean Baptiste,84.61538461538461
Guy Eardly Joseph,Guy Joseph,73.68421052631578
Dr. Robert Lewis,Robert Kennedy Lewis,69.23076923076923
