id,uuid
mp_NaimJerliu,94d8da85-85c6-429b-9b13-b25d0c30c11b
mp_NexhatDaci,e4d6875c-d2a8-483b-a1ec-09ce90248b32
mp_EmilijaRedEpi,7f47b618-2a14-47f1-86f7-db0cc23917c0
mp_JakupKrasniqi,944fd8dc-7925-45e7-9887-20878ca2bc55
mp_Müferaªinik,2f5f59d6-561b-41ce-8aea-85a07b40d35c
mp_SerdjanPopović,1f2d2db7-3730-4fbf-8039-8f85a0fa5833
mp_AgimKrasniqi,563009c6-5921-4ac1-86ea-5f4fb6c6d310
mp_AleksandarVirijeviæ,a9f6c464-7ea4-4e5a-83fb-aea4cc033806
mp_AliSadriu,8b92378f-986c-4661-8645-78c73d8753f6
mp_AlushAGashi,907971d7-2d9a-4d39-aa9f-c81c3945d994
mp_ArsimBajrami,81d88c3a-d3c8-431b-b20b-6480431e1049
mp_BajramKosumi,ad7bd89e-1c98-4520-8fe1-113698e3e43e
mp_BajrushXhemaili,b8079b43-83e3-483a-b989-7d933aece009
mp_BedriSelmani,cda1217f-96dd-437d-a85e-ae68cfb464cc
mp_BehxhetBrajshori,24ba4f13-927a-4673-902e-d264610c58d4
mp_BeratLuzha,b0245bf7-c627-4020-9944-9d2e16587dbc
mp_BesaGaxherri,336e2234-2576-40a1-974c-629302f44cd8
mp_BislimHoti,428d7d27-94ac-46fd-9a37-b1423332e52d
mp_BlerimBaruti,25f12d52-1053-4716-b294-ac74ea012ff9
mp_BogoljubMiloEviæ,35d53218-3981-4a37-8039-ba2c651adf6a
mp_BujarDugolli,eee387a1-f50d-4c5d-9c69-9e79f11500a5
mp_CvetaVujaèiæ,28a794be-62cf-4247-a523-ccc46429176e
mp_DejanMitiæ,c4ac6305-3a09-474c-85aa-35feb5963e77
mp_DragiAKrstoviæ,2fd8791b-3fea-41f5-a09b-30276a568c1e
mp_DritaStatovci,d82a957c-43c9-4299-b08e-d1a73265c6e3
mp_DritonLajçi,9a0e8d61-597c-44a0-a1ab-1980d86fde76
mp_DEzairMurati,0dea1057-b363-4b42-ac32-f60dd050c42c
mp_EdiShukriu,d0356acb-593b-42e2-883a-04af9ace8469
mp_EditaTahiri,240455cb-19b4-458a-aacc-320f1be09b24
mp_EminKrasniqi,4795c660-a846-4a56-9b18-98d1c9271b95
mp_EsadDauti,43f4df87-2f76-4bdc-986b-b8522a76186a
mp_ExhlaleSalihu,e296d1e5-556b-488d-b81e-6d694e1d2b62
mp_FadilGeci,f7213c0b-c386-41e9-b57e-25004aedd2c4
mp_FadilKryeziu,c87a9a79-bfd0-49fe-80a2-132f0857ae49
mp_FaikMarolli,546eeeb3-e59c-478f-8223-058789fd7d70
mp_FatmirLimaj,1b84a2d0-cffa-41c3-bb8b-a804cb709972
mp_FatmirRexhepi,af7e5658-9a70-477b-a904-a76d2b39f0a4
mp_FatmirSejdiu,2ede87b6-f967-487e-871e-a503b4d151c8
mp_FetijeKëpuska,3805ec4a-b9e8-4cfd-adc7-eef5cf8c7a0a
mp_FloraBrovina,a0e93125-d5cd-4068-b925-18e5c0db1e38
mp_GaniKoci,8d854a9b-4dd0-431b-a9b7-db1eaa78490d
mp_GaniPrekopuca,b7b96b30-3569-4da1-94ae-47e5f02b17eb
mp_GaniSadik,4df4120a-685b-4f8e-9282-031c6028a2ae
mp_GjylshenBerisha,d53f9471-a0b6-442e-8f84-78cc20af2ad4
mp_GojkoSavić,ff9fe907-10d8-4b33-b424-7bbae3097383
mp_GoranLazoviæ,82ec2fa7-420f-4305-9474-ebd35dd571b9
mp_HajredinKuçi,6abb117f-f321-42ae-9408-7fd43a7bb6b6
mp_HakiShatri,9ea40e79-c84e-44b5-9a65-6d7876f02cb8
mp_HalilAhmeti,e743299e-74ad-446f-b467-6ed051c2dfd4
mp_HasanMeta,33a534e4-e54e-4c81-9b07-4e8858cc0d8f
mp_HashimThaçi,e26df9fc-1859-48c0-b2b7-c20930e99022
mp_HatixheMusliHoxha,6421aefa-2a29-4b0d-9e85-9ef9b14bab17
mp_HilmoKandiæ,c365ac8f-511e-4a03-ab1f-bcfd07a96966
mp_HydajetHyseni,aa91f88f-4cc2-4565-a560-44f23084cad4
mp_IbushJonuzi,8b6febae-32a2-418b-a551-cc45e41f90a4
mp_IlazPireva,71ae7a0c-5c52-45aa-a4cf-5d805687d7a1
mp_IlmiAhmeti,6011fd1e-fd38-4db0-8f17-9f576050c1a7
mp_IsmajlKurteshi,b9ad973f-7382-4201-9a1c-ed98b9f35c0f
mp_IvanaMarkoviæ,7113119c-01ef-4d8f-91f3-1750d9914435
mp_JusufSutaj,5fe301dd-c15b-406b-9f49-deea9dfe4de8
mp_KolëBerisha,f13dcdc7-bc76-4051-b28f-ada92f359445
mp_LirakÇelaj,8dec2b66-7ce3-407d-bb1d-19cf8a6f7a7b
mp_LjiljanaKeniæ,a966d13d-e9b3-4b95-9de0-c593edcc80a7
mp_LjubomirStanojkoviæ,ff219bcf-406c-4a5e-b1f4-165a115101ad
mp_LulzimZeneli,4cbd76f2-b3ea-45c6-b441-965954514122
mp_MahirYağcılar,2bebfc82-a4b5-4e5b-b2cd-2ffa95332eb6
mp_MahmutBakalli,4e780918-5465-4036-80cd-0f268bcc8920
mp_MarkKrasniqi,90f42246-0236-417f-ba32-72f82afed6bd
mp_MehdiBardhi,8b2c0f9d-a230-4f6a-9fa5-85efa7913257
mp_MehmetNeziri,720c72ff-fa5a-4cc2-aac4-830f65444767
