id,name,role,group,area,area_id,phone,fax,term,source,image,contact_form
477,Joseph P. Deleon Guerrero,Speaker,Independent,Election District 1,1,(670) 664-8971,(670) 664-8900,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/477.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=477&secID=1
478,Rafael S. Demapan,Vice Speaker,Republican,Election District 2,2,(670) 664-8974/5,(670) 664-8864,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/478.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=478&secID=1
479,George N. Camacho,Floor Leader,Republican,Election District 4,4,(670) 664-8836,(670) 664-8985,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/479.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=479&secID=1
489,Edwin P. Aldan,Representative,Independent,Election District 6,6,(670) 664-8806,(670) 664-8952,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/489.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=489&secID=1
490,Blas Jonathan Attao,Representative,Independent,Election District 3,3,(670) 664-8925,(670) 664-8871,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/490.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=490&secID=1
491,Anthony T. Benavente,Representative,Independent,Election District 3,3,(670) 664-8826,(670) 664-8822,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/491.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=491&secID=1
492,Roman C. Benavente,Representative,Independent,Election District 1,1,(670) 664-8881,(670) 664-8895,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/492.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=492&secID=1
493,Lorenzo I. Deleon Guerrero,Representative,Independent,Election District 5,5,(670) 664-8888,(670) 664-8889,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/493.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=493&secID=1
494,Angel A. Demapan,Representative,Republican,Election District 1,1,(670) 664-8983,(670) 664-8985,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/494.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=494&secID=1
495,Joseph Lee Pan Guerrero,Representative,Republican,Election District 1,1,(670) 664-8899,(670) 664-8948,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/495.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=495&secID=1
496,Glenn L. Maratita,Representative,Republican,Election District 7,7,(670) 664-8890,(670) 664-8892,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/496.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=496&secID=1
497,Felicidad T. Ogumoro,Representative,Republican,Election District 3,3,(670) 664-8841,(670) 664-8827,19,http://www.cnmileg.gov.mp/members.asp?secID=1&legsID=19,http://www.cnmileg.gov.mp/images/members/497.jpg,http://www.cnmileg.gov.mp/members_contact.asp?mbrID=497&secID=1
