id,name,name__tj,source,image,group,term
60,Zuhurov Shukurjon,Зуҳуров Шукурҷон,http://www.parlament.tj/index.php?view=article&id=60,http://www.parlament.tj/images/stories/Shukurjon%20Zuhurov.jpg,Unknown,2015
1210,Azizi Abdujabbor Abduqahhor,Азизӣ Абдуҷаббор Абдуқаҳҳор,http://www.parlament.tj/index.php?view=article&id=1210,http://www.parlament.tj/images/stories/Azizi%20Abdujabbor%20Abduqahor(2).jpg,Unknown,2015
70,Khairiniso Yusufi,Хайринисо Юсуфӣ,http://www.parlament.tj/index.php?view=article&id=70,http://www.parlament.tj/images/stories/Khairiniso%20Yusufi(2).jpg,Unknown,2015
102,Felaliev Akramsho Saidshoevich,Фелалиев Акрамшо Саидшоевич,http://www.parlament.tj/index.php?view=article&id=102,http://www.parlament.tj/images/stories/Felaliev%20Akramsho%20%20Saidshoevich(1).jpg,Unknown,2015
64,Vatanov Mahmadali Mahmadulloevich,Ватанов Маҳмадалӣ Маҳмадуллоевич,http://www.parlament.tj/index.php?view=article&id=64,http://www.parlament.tj/images/stories/Vatanov%20Mahmadali%20Mahmadulloevich.jpg,Unknown,2015
1253,Majidzoda Jurakhon Zoir,Маҷидзода Ҷурахон Зоир,http://www.parlament.tj/index.php?view=article&id=1253,http://www.parlament.tj/images/stories/Majidzoda.jpg,Unknown,2015
1234,Sharif Rahimzoda,Шариф Раҳимзода,http://www.parlament.tj/index.php?view=article&id=1234,http://www.parlament.tj/images/stories/22.jpg,Unknown,2015
1257,Latifzoda Rustam Barot,Латифзода Рустам Барот,http://www.parlament.tj/index.php?view=article&id=1257,http://www.parlament.tj/images/stories/Latifzoda%20Rustam%20Barot.jpg,Unknown,2015
1300,Salimzoda Olim,Салимзода Олим,http://www.parlament.tj/index.php?view=article&id=1300,http://www.parlament.tj/images/stories/Salimzoda%20Olim.JPG,Unknown,2015
1214,Rajabova Lutfiya Nusratovna,Раҷабова Лутфия Нусратовна,http://www.parlament.tj/index.php?view=article&id=1214,http://www.parlament.tj/images/stories/0202.jpg,Unknown,2015
1217,Qurbonzoda Hilolbi,Қурбонзода Ҳилолбӣ,http://www.parlament.tj/index.php?view=article&id=1217,http://www.parlament.tj/images/stories/Qurbonzoda%20Hilolbi%20Jumakhon.jpg,Unknown,2015
