id,name,image,partylist,faction,faction_id,area,gender,term,source
212,Samia Abbou,http://majles.marsad.tn/2014/uploads/images/Samia_Abbou.png,Courant Démocratique,Aucun bloc,Aucun_bloc,Tunis 1,female,1,http://majles.marsad.tn/2014/fr/assemblee
200,Badreddine Abdelkefi,http://majles.marsad.tn/2014/uploads/images/Badreddine_Abdelkefi.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Sfax 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
141,Abir Abdelli,http://majles.marsad.tn/2014/uploads/images/Abir_Abdelli.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Sidi Bouzid,female,1,http://majles.marsad.tn/2014/fr/assemblee
30,Asma Abou Hana,http://majles.marsad.tn/2014/uploads/images/Asma_Bou%20Hana.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Gafsa,female,1,http://majles.marsad.tn/2014/fr/assemblee
117,Mohamed Anouar Adhar,http://majles.marsad.tn/2014/uploads/images/Mohamed%20Anouar_Adhar.png,Afek Tounes,Afek Tounes,Afek_Tounes,Sfax 2,male,1,http://majles.marsad.tn/2014/fr/assemblee
251,Oussama Al Saghir,http://majles.marsad.tn/2014/uploads/images/Oussama_Al%20Saghir.png,Mouvement Ennahdha,Mouvement Ennahdha,Mouvement_Ennahdha,Italie,male,1,http://majles.marsad.tn/2014/fr/assemblee
119,Lotfi Ali,http://majles.marsad.tn/2014/uploads/images/Lotfi%20Ali.png,Parti l'initiative,Bloc Social-Démocrate,Bloc_Social-Démocrate,Gafsa,male,1,http://majles.marsad.tn/2014/fr/assemblee
158,Aymen Aloui,http://majles.marsad.tn/2014/uploads/images/Aymen%20Aloui.png,Front Populaire,Front Populaire,Front_Populaire,Kasserine,male,1,http://majles.marsad.tn/2014/fr/assemblee
92,Souhail Alouini,http://majles.marsad.tn/2014/uploads/images/Souhail_Alouini.png,Mouvement Nidaa Tounes,Mouvement Nidaa Tounes,Mouvement_Nidaa_Tounes,Kairouan,male,1,http://majles.marsad.tn/2014/fr/assemblee
113,Nizar Amami,http://majles.marsad.tn/2014/uploads/images/Nizar_Amami.png,Front Populaire,Front Populaire,Front_Populaire,La Manouba,male,1,http://majles.marsad.tn/2014/fr/assemblee
