id,wikidata
unity,Q992046
concord,Q2167704
union_of_greens_and_farmers,Q167928
"national_alliance_""all_for_latvia!""_–_""for_fatherland_and_freedom/lnnk""",Q1576026
national_alliance_of_all_for_latvia!_and_for_fatherland_and_freedom/lnnk,Q1576026
latvian_regional_alliance,Q18189957
for_latvia_from_the_heart,Q16348038
