incoming_name,existing_name,confidence
Paul Evans Aidoo,Evans Paul Aidoo,100.0
Alhassan Bashir Fuseini,Bashir Fuseini Alhassan,100.0
Papa Owusu-Ankomah,"Papa Owusu-Ankomah,",96.7741935483871
Joseph Amenowode,Joseph Z. Amenowode,96.29629629629629
Joseph Amankwanor,Joseph Sam Amankwanor,93.33333333333333
Juliana Azumah-Mensah,Juliana Azumah-Mensah (Mrs),90.0
Alban Bagbin,Alban S. K. Bagbin,90.0
Mark Woyongo,Mark Owen Woyongo,85.71428571428571
Cletus Avoka,Apul Cletus Avoka,85.71428571428571
Muntaka Mohammed Mubarak,Mubarak Mohammed Muntaka (Alhaji),84.44444444444444
Sarah Adwoa Sarfo,Sarah Adwoa Safo (Ms),76.92307692307693
Collins Dauda,Collins Dauda (Alhaji),74.07407407407408
Fritz Baffour,Fritz Frederic Baffour,74.07407407407408
Joe Gidisu,Joe Kwashie Gidisu,70.0
Benjamin Kunbuor,Benjamin Bewa-Nyog Kunbuor (Dr.),68.42105263157895
Hanna Tetteh,Hanna Serwaah Tetteh (Ms),66.66666666666666
