id,wikidata
australian_labor_party,Q216082
liberal_party,Q241149
country_liberal_party,Q2496080
australian_greens,Q781486
palmer_united_party,Q15130081
the_nationals,Q946040
australian_motoring_enthusiast_party,Q14866895
liberal_democratic_party,Q6540624
family_first_party,Q1395400
