name,area,area_id,group,term,source
Garcia DELVA,Dessalines,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:1,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
G. Vernex CYRIUS,Pte Rivière de l'Artibonite,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:2,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Wilbert DESHOMMES,Grande Saline,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:3,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Levaillant LOUIS JEUNE,Desdunes,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:4,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Sadrac DIEUDONNÉ,Gonaives,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:1,MOCHRENA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jules LyoneL ANELUS,L'Estère,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:2,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Chancy CHOLZER,Ennery,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:3,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Fritz CHERY,Gros Morne,ocd-division/country:ht/departement:artibonite/arrondissement:gros_morne/circonscription:1,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jodson Leroy ROSEMOND,Anse Rouge et Terre Neuve,ocd-division/country:ht/departement:artibonite/arrondissement:gros_morne/circonscription:2,INDÉP.,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph PATRICK,Marmelade et St Michel,ocd-division/country:ht/departement:artibonite/arrondissement:marmelade/circonscription:1,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Altes TOUSSAINT,St. Marc,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:1,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Vikens DERILUS,Verrettes,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:2,MODELH,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Fanel SALOMON,La Chapelle,ocd-division/country:ht/departement:artibonite/arrondissement:saint_marc/circonscription:3,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
