id,name,party,party_id,area,image,term
8,Fatimé Nouracham Ramadan,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton8-b1f83.jpg,2011
209,Mahamat Annadif Youssouf,unknown,unknown,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton209-c7e51.jpg,2011
124,Mahamat Djibrine Nimir,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton124-d8f45.jpg,2011
216,Mahamat Saleh Makki,unknown,unknown,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton216-9ba7d.jpg,2011
81,Achta Béchi,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton81-3ee94.jpg,2011
101,Adoum Ali  Kedelaye,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton101-9a719.jpg,2011
182,Azzain Mahamat Hassane,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton182-6a546.jpg,2011
85,Lol Mahamat Choua,Rassemblement pour la Démocratie et le Progrès,RDP,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton85-905fa.jpg,2011
212,Mahamat  Sountali,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton212-c9072.jpg,2011
213,Mahamat Mallaye,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L220xH165/arton213-57faf.jpg,2011
217,Mahamat Sountani Ali,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton217-ac012.jpg,2011
89,Adoum Moustapha Brahimi NGuili,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton89-b4be9.jpg,2011
98,Ali Abakar Adji,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton98-06cf6.jpg,2011
196,Fadjack Malloum,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton196-7c623.jpg,2011
4,Hadjé Zahara Affono,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton4-066c7.jpg,2011
149,Mahamat Ali Kourtou,Rassemblement pour la Démocratie et le Progrès,RDP,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton149-167ad.jpg,2011
63,Tchari Madi Maïna,Rassemblement pour la Démocratie et le Progrès,RDP,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton63-36461.jpg,2011
190,Djedanem Nemba,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton190-af63e.jpg,2011
230,Djekornondé Tapambay,unknown,unknown,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton230-61a36.jpg,2011
