wikipedia_name,term,wikipedia,name,group,family_name,given_name,sort_name,death_date,id
Joe Holliday,9,https://en.wikipedia.org/wiki/Joe_Holliday,J J Holliday,Gibraltar Social Democrats,Holliday,Joseph John,"Holliday, Joseph John",,j_j_holliday
,9,,E M Britto,Gibraltar Social Democrats,Britto,Ernest Michael,"Britto, Ernest Michael",,e_m_britto
,9,,H A Corby,Gibraltar Social Democrats,Corby,Hubert Alfred,"Corby, Hubert Alfred",,h_a_corby
,9,,J J Netto,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",,j_j_netto
Yvette Del Agua,9,https://en.wikipedia.org/wiki/Yvette_Del_Agua,Y Del Agua,Gibraltar Social Democrats,Del Agua,Yvette,"Del Agua, Yvette",,y_del_agua
Joe Bossano,9,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Bossano,Joseph John,"Bossano, Joseph John",,j_j_bossano
Joseph Garcia (Gibraltarian politician),9,https://en.wikipedia.org/wiki/Joseph_Garcia_(Gibraltarian_politician),J J Garcia,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Garcia,Joseph John,"Garcia, Joseph John",,j_j_garcia
,9,,J L Baldachino,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Baldachino,Joseph Louis,"Baldachino, Joseph Louis",,j_l_baldachino
,9,,M I Montegriffo,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Montegriffo,Maria Isabel,"Montegriffo, Maria Isabel",,m_i_montegriffo
Reggie Valarino,9,https://en.wikipedia.org/wiki/Reggie_Valarino,R G Valarino,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Valarino,Reginald G,"Valarino, Reginald G",,r_g_valarino
,9,,J C Perez,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Perez,Juan Carlos,"Perez, Juan Carlos",,j_c_perez
Steven Linares,9,https://en.wikipedia.org/wiki/Steven_Linares,S E Linares,Gibraltar Socialist Labour Party / Gibraltar Liberal Party,Linares,Steven Ernest,"Linares, Steven Ernest",,s_e_linares
Paul Balban,12,https://en.wikipedia.org/wiki/Paul_Balban,P J Balban,Gibraltar Socialist Labour Party,Balban,Paul John,"Balban, Paul John",,p_j_balban
Joe Bossano,12,https://en.wikipedia.org/wiki/Joe_Bossano,J J Bossano,Gibraltar Socialist Labour Party,Bossano,Joseph John,"Bossano, Joseph John",,j_j_bossano
Damon Bossino,12,https://en.wikipedia.org/wiki/Damon_Bossino,D J Bossino,Gibraltar Social Democrats,Bossino,Damon James,"Bossino, Damon James",,d_j_bossino
Peter Caruana,12,https://en.wikipedia.org/wiki/Peter_Caruana,P R Caruana,Gibraltar Social Democrats,Caruana,Peter Richard,"Caruana, Peter Richard",,p_r_caruana
John Cortes,12,https://en.wikipedia.org/wiki/John_Cortes,J E Cortes,Gibraltar Socialist Labour Party,Cortes,John Emmanuel,"Cortes, John Emmanuel",,j_e_cortes
Neil Costa,12,https://en.wikipedia.org/wiki/Neil_Costa,N F Costa,Gibraltar Liberal Party,Costa,Neil Francis,"Costa, Neil Francis",,n_f_costa
Isobel Ellul-Hammond,12,https://en.wikipedia.org/wiki/Isobel_Ellul-Hammond,I M Ellul-Hammond,Gibraltar Social Democrats,Ellul-Hammond,Isobel Marie,"Ellul-Hammond, Isobel Marie",,i_m_ellul-hammond
Daniel Feetham,12,https://en.wikipedia.org/wiki/Daniel_Feetham,D A Feetham,Gibraltar Social Democrats,Feetham,Daniel Anthony,"Feetham, Daniel Anthony",,d_a_feetham
,12,,S M Figueras,Gibraltar Social Democrats,Figueras,Selwyn Matthew,"Figueras, Selwyn Matthew",,s_m_figueras
Joseph Garcia (Gibraltarian politician),12,https://en.wikipedia.org/wiki/Joseph_Garcia_(Gibraltarian_politician),J J Garcia,Gibraltar Liberal Party,Garcia,Joseph John,"Garcia, Joseph John",,j_j_garcia
Albert Isola,12,https://en.wikipedia.org/wiki/Albert_Isola,A Isola,Gibraltar Socialist Labour Party,Isola,Albert,"Isola, Albert",,a_isola
Gilbert Licudi,12,https://en.wikipedia.org/wiki/Gilbert_Licudi,G H Licudi,Gibraltar Socialist Labour Party,Licudi,Gilbert Horace,"Licudi, Gilbert Horace",,g_h_licudi
Steven Linares,12,https://en.wikipedia.org/wiki/Steven_Linares,S E Linares,Gibraltar Liberal Party,Linares,Steven Ernest,"Linares, Steven Ernest",,s_e_linares
,12,,J J Netto,Gibraltar Social Democrats,Netto,James Joseph,"Netto, James Joseph",,j_j_netto
Fabian Picardo,12,https://en.wikipedia.org/wiki/Fabian_Picardo,F R Picardo,Gibraltar Socialist Labour Party,Picardo,Fabian Raymond,"Picardo, Fabian Raymond",,f_r_picardo
Edwin Reyes,12,https://en.wikipedia.org/wiki/Edwin_Reyes,E J Reyes,Gibraltar Social Democrats,Reyes,Edwin Joseph,"Reyes, Edwin Joseph",,e_j_reyes
Samantha Sacramento,12,https://en.wikipedia.org/wiki/Samantha_Sacramento,S J Sacramento,Gibraltar Socialist Labour Party,Sacramento,Samantha Jane,"Sacramento, Samantha Jane",,s_j_sacramento
Charles Bruzon,12,https://en.wikipedia.org/wiki/Charles_Bruzon,C A Bruzon,Gibraltar Socialist Labour Party,Bruzon,Charles Arthur,"Bruzon, Charles Arthur",2013-04-16,c_a_bruzon
