name,group,area,term,source
ILYAS MOUSSA DAWALEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ABDOULKADER KAMIL MOHAM,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
IDRISS ARNAHOUD ALI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
DILEITA MOHAMED DILEITA,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ALI MOHAMED DAOUD,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ILMI MOUSSA HASSAN,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
MOHAMED ALI FOULIEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
OUMMA MOHAMED HAMID,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
HASSAN SAID GOUMANEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ABDO SIKIEH DIRIEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ALI ABDI FARAH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
MOHAMED BARKAT ABDILLAHI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
CHARMARKE MOUSSA ARREH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
IBRAHIM SOULTAN ABDILLAHI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ABDOURAHMAN HASSAN RAYALEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
DARAR ALI AMIRI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ALI SOUBANEH ATTEYEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
MOHAMED ABDOURAHMAN ABDILLAHI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
MOHAMED YOUSSOUF GOUMANEH,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
YOUSSOUF MOUTOUNA ABAKARI,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
OMAR ADEN SAID,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
NOUH HASSAN GOULED,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
ABDILLAHI BILAL KIDAR,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
AHMED HASSAN MOHAMED,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
SAFIA ELMI DJIBRIL,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
HOUSSEIN ALI WARSAME,UMP,Djibouti,6,http://www.lughaya.com/archives/19857
