id,name,area,group,group_id,gender,phone,term,source
302,Hon. J.R. Njobvuyalema,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=302&mode=alps
304,Hon. A.S. Nkhata,Kasungu,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=304&mode=alps
435,Hon. L. Nkhosa Kamwendo,Ntchisi,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=435&mode=alps
312,Hon. A.M. Nyalonje,Mzimba,Peoples Party,PP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=312&mode=alps
306,Hon. C.L. Nyirenda,Nkhata Bay,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=306&mode=alps
318,Hon. M.H. Osman,Chiradzulu,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=318&mode=alps
321,Hon. L.E. Patel,Mangochi,United Democratic Front,UDF,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=321&mode=alps
402,Hon. F. Phisso-Phiri,Blantyre,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=402&mode=alps
324,Hon. M. Salijeni,Thyolo,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=324&mode=alps
327,Hon. A.M.M. Sangala,Blantyre,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=327&mode=alps
322,Hon. H.M. Shaba,Mzimba,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=322&mode=alps
335,Hon. R.C. Shaba,Mzimba,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=335&mode=alps
333,Hon. R.P. Sithole,Kasungu,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=333&mode=alps
401,Hon. G.T. Solomoni,Thyolo,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=401&mode=alps
343,Hon. L.L. Tambala,Mulanje,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=343&mode=alps
341,Hon. C.C. Tembo,Lilongwe,Malawi Congress Party,MCP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=341&mode=alps
347,Hon. P.P. Themu,Dedza,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=347&mode=alps
392,Hon. H. Thomson,Chikwawa,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=392&mode=alps
346,Hon. M.L. Thyolera,Lilongwe,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=346&mode=alps
339,Hon. C.J. Tikhiwa,Zomba,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=339&mode=alps
349,Hon. E. Yahaya,Machinga,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=349&mode=alps
352,Hon. D.S. Zaipa,Mchinji,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=352&mode=alps
353,Hon. K.A. Zinchetera,Mchinji,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=353&mode=alps
