id,legacy
e31ea165-6b17-44c0-8fc9-d37cc875cfac,1501
0ceb35d9-d097-4128-bfe6-35be91daddb5,615
aa76d0a7-d8dc-480e-bd6a-2ef8a60c568e,1509
8e5debd6-8411-4b5d-a163-73423f76b63d,291
ab441513-fe29-4a12-a1cc-2e5a1ddd9f8f,902
b9379356-6154-467d-99bd-8d3a8375178e,188
1edd5bbc-7840-4a6c-839e-5260f2080d6d,292
662bf4ec-a2ec-4272-ac2f-5f46e4505142,2533
f36e71bb-e5e4-44ab-ace7-120af94ec331,227
e7b8e383-31e2-4beb-839a-7c8e11a330ec,1500
6697970e-3851-4d82-9313-64f934164afd,605
d51da0b2-01db-4251-a408-dcbaf3241cc0,652
a4e6288c-4839-4de1-a96b-524e0c1bacb1,584
62e2b72a-ae66-4524-a25d-a16f8ed3bcce,2455
d15ee9a6-de9f-409a-a085-814ebd58bc14,274
4b7e4b28-b4e8-4b52-82cb-2cddcb824999,999
f0d0de85-d219-45a1-9df2-d3cc48b2cabd,620
e3a95699-e725-4596-af43-49921508846c,1070
66ea2153-f05f-40d5-a127-55b04ed2797e,271
58dfd935-91ce-40a2-bd48-355e58cd0e37,636
5b484264-f57b-4acc-a7e9-0a04327a0803,1732
78b1bf6f-b475-4bc7-9207-336e72ac2b04,1499
e1f69ae2-da1f-4986-89f4-82dd4ce162b6,100
2b2c7417-03a4-4fb4-8e6a-3a0c823ecb03,1730
934d42be-3127-4e11-a031-48a01c32abea,779
1399914a-e38f-4a59-a333-ddcd39cb5f13,149
45a153d8-3e8e-4cb8-8cfb-b458e6509422,144
3a4d152b-308a-403a-bbd6-e2fd37826fd3,1022
a297244b-33b2-4b51-8251-ab8cef57c4cc,68
225ef647-0b44-48d4-bec7-1d760b529a6e,5
6d8be0b8-41d9-4c14-9bb9-f9fea3deefc1,1497
b825ff40-a57f-4685-ac3c-89091a144966,835
34023e4f-9bea-4999-a97c-6e70a7c15885,2561
4160107f-4662-4d4c-912a-a91495b4d135,809
662ea2ac-cb58-434f-a9f8-b883a222692b,2553
f8d117ec-a31f-42fc-b5f5-0ef074e1049e,1071
78523d52-3d60-448e-a6d9-28ff307221e0,278
110c0c48-a131-49b8-b27f-e58f6e58db02,912
65f10443-4fb2-46b0-bcc1-fcb2677928a6,1689
32b73737-0eea-4003-af40-022278018fb5,857
35cf9336-2a69-4a8d-9eac-1f0f83672c98,612
8e4f4f04-9eef-4532-b97f-fd9b5fcecd96,17
014a81b4-d09e-4223-8f75-6deb12fc387b,820
a0df8f1f-65d1-44f3-a1d8-5606cf0ac1f7,698
cd2db84c-d6ba-4b7e-a4af-892a3d89101b,21
f17110de-cb56-4482-8c4d-30278c6f3fe1,641
2d9086cc-2e75-4753-b491-5993ca84a25b,586
780eed25-d4cc-49c5-abc7-2a4094c0f630,1514
2333c795-12e6-4246-8c84-d3a264d6fce3,87
421cd404-37fd-4796-b0ad-04b3f4304bb9,923
