id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
Ömer_naimi_barım,Ömer Naimi Barım,,,Milli Selamet Partisi,milli_selamet_partisi,Elazığ,Grand National Assembly,15,,,,
Ömer_Çakıroğlu,Ömer Çakıroğlu,,,Adalet Partisi,adalet_partisi,Trabzon,Grand National Assembly,15,,,,
Önder_sav,Önder Sav,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Ankara,Grand National Assembly,15,,,,
Önol_Şakar,Önol Şakar,,,Adalet Partisi,adalet_partisi,Manisa,Grand National Assembly,15,,,,
Özer_Ölçmen,Özer Ölçmen,,,Demokratik Parti,demokratik_parti,Konya,Grand National Assembly,15,,,,
Ünat_demir,Ünat Demir,,,Adalet Partisi,adalet_partisi,Muğla,Grand National Assembly,15,,,,
İbrahim_akdoğan,İbrahim Akdoğan,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Kırklareli,Grand National Assembly,15,,,,
İbrahim_aysoy,İbrahim Aysoy,,,Bağımsız,bağımsız,Mardin,Grand National Assembly,15,,,,
İbrahim_bedreddin_elmalılı,İbrahim Bedreddin Elmalılı,,,Demokratik Parti,demokratik_parti,Afyonkarahisar,Grand National Assembly,15,,,,
İbrahim_behram_eker,İbrahim Behram Eker,,,Adalet Partisi,adalet_partisi,Balıkesir,Grand National Assembly,15,,,,
İbrahim_etem_kılıçoğlu,İbrahim Etem Kılıçoğlu,,,Demokratik Parti,demokratik_parti,Giresun,Grand National Assembly,15,,,,
İbrahim_ethem_güngör,İbrahim Ethem Güngör,,,Adalet Partisi,adalet_partisi,Eskişehir,Grand National Assembly,15,,,,
İbrahim_göktepe,İbrahim Göktepe,,,Adalet Partisi,adalet_partisi,İçel (Mersin),Grand National Assembly,15,,,,
İbrahim_hortoğlu,İbrahim Hortoğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Gaziantep,Grand National Assembly,15,,,,
İbrahim_saffet_omay,İbrahim Saffet Omay,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Ankara,Grand National Assembly,15,,,,
İbrahim_tekin,İbrahim Tekin,,,Demokratik Parti,demokratik_parti,Adana,Grand National Assembly,15,,,,
İdris_arıkan,İdris Arıkan,,,Adalet Partisi,adalet_partisi,Siirt,Grand National Assembly,15,,,,
İhsan_arslan,İhsan Arslan,,,Demokratik Parti,demokratik_parti,Yozgat,Grand National Assembly,15,,,,
İhsan_ataöv,İhsan Ataöv,,,Adalet Partisi,adalet_partisi,Antalya,Grand National Assembly,15,,,,
İhsan_bedirhanoğlu,İhsan Bedirhanoğlu,,,Cumhuriyetçi Güven Partisi,cumhuriyetçi_güven_partisi,Van,Grand National Assembly,15,,,,
İhsan_toksarı,İhsan Toksarı,,,Adalet Partisi,adalet_partisi,İstanbul,Grand National Assembly,15,,,,
İhsan_tombuş,İhsan Tombuş,,,Demokratik Parti,demokratik_parti,Çorum,Grand National Assembly,15,,,,
İlhami_sancar,İlhami Sancar,,,Cumhuriyetçi Güven Partisi,cumhuriyetçi_güven_partisi,İstanbul,Grand National Assembly,15,,,,
İlhami_Çetin,İlhami Çetin,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Yozgat,Grand National Assembly,15,,,,
İlhan_aytekin,İlhan Aytekin,,,Adalet Partisi,adalet_partisi,Balıkesir,Grand National Assembly,15,,,,
İlhan_ersoy,İlhan Ersoy,,,Adalet Partisi,adalet_partisi,Kütahya,Grand National Assembly,15,,,,
İlhan_işık,İlhan Işık,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Edirne,Grand National Assembly,15,,,,
İlhan_Özbay,İlhan Özbay,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
İlter_Çubukçu,İlter Çubukçu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Adana,Grand National Assembly,15,,,,
İlyas_kılıç,İlyas Kılıç,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Samsun,Grand National Assembly,15,,,,
İlyas_seçkin,İlyas Seçkin,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Ankara,Grand National Assembly,15,,,,
İmam_hüseyin_İncioğlu,İmam Hüseyin İncioğlu,,,Cumhuriyetçi Güven Partisi,cumhuriyetçi_güven_partisi,Gaziantep,Grand National Assembly,15,,,,
İrfan_yankutan,İrfan Yankutan,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Samsun,Grand National Assembly,15,,,,
İsa_ayhan,İsa Ayhan,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Aydın,Grand National Assembly,15,,,,
İsmail_fehmi_cumalıoğlu,İsmail Fehmi Cumalıoğlu,,,Milli Selamet Partisi,milli_selamet_partisi,İstanbul,Grand National Assembly,15,,,,
İsmail_hakkı_birler,İsmail Hakkı Birler,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Tokat,Grand National Assembly,15,,,,
İsmail_hakkı_ketenoğlu,İsmail Hakkı Ketenoğlu,,,Adalet Partisi,adalet_partisi,Ankara,Grand National Assembly,15,,,,
İsmail_hakkı_köylüoğlu,İsmail Hakkı Köylüoğlu,,,Adalet Partisi,adalet_partisi,Ankara,Grand National Assembly,15,,,,
İsmail_hakkı_tekinel,İsmail Hakkı Tekinel,,,Adalet Partisi,adalet_partisi,İstanbul,Grand National Assembly,15,,,,
İsmail_hakkı_yıldırım,İsmail Hakkı Yıldırım,,,Adalet Partisi,adalet_partisi,Erzurum,Grand National Assembly,15,,,,
İsmail_müftüoğlu,İsmail Müftüoğlu,,,Milli Selamet Partisi,milli_selamet_partisi,Sakarya,Grand National Assembly,15,,,,
İsmail_taşlı,İsmail Taşlı,,,Adalet Partisi,adalet_partisi,İzmir,Grand National Assembly,15,,,,
İsmet_ağaoğlu,İsmet Ağaoğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Maraş,Grand National Assembly,15,,,,
İsmet_büyükyaylacı,İsmet Büyükyaylacı,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Konya,Grand National Assembly,15,,,,
İsmet_sezgin,İsmet Sezgin,,,Adalet Partisi,adalet_partisi,Aydın,Grand National Assembly,15,,,,
Şammas_yaşar_arıbaş,Şammas Yaşar Arıbaş,,,Adalet Partisi,adalet_partisi,Niğde,Grand National Assembly,15,,,,
Şener_battal,Şener Battal,,,Milli Selamet Partisi,milli_selamet_partisi,Konya,Grand National Assembly,15,,,,
Şevket_kazan,Şevket Kazan,,,Milli Selamet Partisi,milli_selamet_partisi,Kırklareli,Grand National Assembly,15,,,,
Şinasi_osma,Şinasi Osma,,,Adalet Partisi,adalet_partisi,İzmir,Grand National Assembly,15,,,,
Şükriye_tok,Şükriye Tok,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,İstanbul,Grand National Assembly,15,,,,
Şükrü_yüzbaşıoğlu,Şükrü Yüzbaşıoğlu,,,Cumhuriyet Halk Partisi,cumhuriyet_halk_partisi,Afyonkarahisar,Grand National Assembly,15,,,,
