chamber,area,details_url,name,group,image,executive,term_id,term
National Assembly,Antananarivo I,http://www.assemblee-nationale.mg/?depute=razafimanantsoa-lobo-hanitriniaina,RAZAFIMANANTSOA Lobo Hanitriniaina,M. RAVALOMANANA,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/124.jpg&w=200&h=auto,Vice-président Antananarivo,,2013
National Assembly,Ihosy,http://www.assemblee-nationale.mg/?depute=razafimandimby-germain-boniface,RAZAFIMANDIMBY Germain Boniface,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/125.jpg&w=200&h=auto,Député,,2013
National Assembly,Vangaindrano,http://www.assemblee-nationale.mg/?depute=razafimily-constance,RAZAFIMILY Constance,Leader Fanilo,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/126.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Vatomandry,http://www.assemblee-nationale.mg/?depute=razafinandrasana-raulan,RAZAFINANDRASANA Raulan,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/127.jpg&w=200&h=auto,Député,,2013
National Assembly,Ifanadina,http://www.assemblee-nationale.mg/?depute=razafindrafito-lova-narivelo,RAZAFINDRAFITO Lova Narivelo,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/128.jpg&w=200&h=auto,Député,,2013
National Assembly,Beroroha,http://www.assemblee-nationale.mg/?depute=razafindrakoto-harifanja-francette,RAZAFINDRAKOTO Harifanja Francette,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/129.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Fénérive Est,http://www.assemblee-nationale.mg/?depute=razafindravelo-hermann,RAZAFINDRAVELO Hermann,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/130.jpg&w=200&h=auto,Vice-président Toamasina,,2013
National Assembly,Ikongo,http://www.assemblee-nationale.mg/?depute=razafintsiandraofa-jean-brunelle,RAZAFINTSIANDRAOFA Jean Brunelle,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/131.jpg&w=200&h=auto,Vice-président de commission,,2013
National Assembly,Vavatenina,http://www.assemblee-nationale.mg/?depute=razanadrabearimanana-jacques-aurelien,RAZANADRABEARIMANANA Jacques Aurélien,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/132.jpg&w=200&h=auto,Rapporteur adjoint de commission,,2013
National Assembly,Andramasina,http://www.assemblee-nationale.mg/?depute=razanakoto,RAZANAKOTO -,Leader Fanilo,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/133.jpg&w=200&h=auto,Député,,2013
National Assembly,Ambatofinandrahana,http://www.assemblee-nationale.mg/?depute=razanamahasoa-christine-harijaona,RAZANAMAHASOA Christine Harijaona,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/134.jpg&w=200&h=auto,Député,,2013
National Assembly,Fianarantsoa I,http://www.assemblee-nationale.mg/?depute=razaranaina-nomenirina,RAZARANAINA Nomenirina,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/135.jpg&w=200&h=auto,Député,,2013
National Assembly,Antsohihy,http://www.assemblee-nationale.mg/?depute=remi,REMI,VP-MMM,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/136.jpg&w=200&h=auto,Vice-président Mahajanga,,2013
National Assembly,Lalangina,http://www.assemblee-nationale.mg/?depute=rivotiana-richard-jean-bosco,RIVOTIANA Richard Jean Bosco,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/137.jpg&w=200&h=auto,Président de commission,,2013
National Assembly,Toliary II,http://www.assemblee-nationale.mg/?depute=rochelin-houssen,ROCHELIN Houssen,Indépendant,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/138.jpg&w=200&h=auto,Député,,2013
National Assembly,Toamasina II,http://www.assemblee-nationale.mg/?depute=roilahy,ROILAHY,MAPAR,http://www.assemblee-nationale.mg/wp-content/themes/ct/aero/plugins/timthumb.php?src=http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/139.jpg&w=200&h=auto,Rapporteur de commission,,2013
