id,name,image,term,source
3955,Haji Sayed Mohammad Daud Nasiri - Daikundi,http://www.wolesi.website/Media/Images/mine/Hon'ble%20Haji%20Sayed%20Mohammad%20Daud%20Nasiri.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
2511,Engineer Sayed Ikram,http://www.wolesi.website/Media/Images/mine/syed-akram.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
2011,GHolam Hosain Nasiri,http://www.wolesi.website/Media/Images/mine/GHolamhosain-nasiri-s.JPG,2010,http://wolesi.website/pve/document.aspx?Cat=37
2010,Abdul Majeed Wardak,http://www.wolesi.website/Media/Images/mine/abdulmajidwardak.s.JPG,2010,http://wolesi.website/pve/document.aspx?Cat=37
2009,Abdul Ahmad Durany,http://www.wolesi.website/Media/Images/mine/abdol-ahmad-dorani.jpg,2010,http://wolesi.website/pve/document.aspx?Cat=37
2008,Sidiqa mobarez,http://www.wolesi.website/Media/Images/mine/sidiqa-mobariz.s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
2007,Engineer Hameda Akbary,http://www.wolesi.website/Media/Images/mine/hamida.akbari.s.JPG,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
2001,Neamatullah GHafari,http://www.wolesi.website/Media/Images/mine/neamatullah-ghafari.ss.jpg,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
2000,Naseema niazi,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
1986,Moalem Meer wali,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,2010,http://wolesi.website/pve/document.aspx?Page=1&Cat=37
1985,Haji Mohammed Valy Ali zai,http://www.wolesi.website/Media/Images/mine/m-mohammad-vali-alizai.JPG,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
1984,Abdul wadood popal,http://www.wolesi.website/Media/Images/mine/m-abdolvodod-popal.jpg,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
1977,ABDUL HAY,http://www.wolesi.website/Media/Images/mine/no-pic-vak.png,2010,http://wolesi.website/pve/document.aspx?Page=2&Cat=37
