id,name,identifier__historichansard,area,group,group_id,start_date,start_reason,end_date,end_reason,term
10091,Dennis Canavan,173,Falkirk West,Independent,independent,1999-05-06,regional_election,2003-03-31,regional_election,1
10091,Dennis Canavan,173,Falkirk West,Independent,independent,2003-05-01,regional_election,2007-04-02,regional_election,2
10102,Malcolm Chisholm,184,Edinburgh North and Leith,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
10102,Malcolm Chisholm,184,Edinburgh North and Leith,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
10102,Malcolm Chisholm,184,Edinburgh North and Leith,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
10102,Malcolm Chisholm,184,Edinburgh Northern and Leith,Labour,labour,2011-05-06,regional_election,,,4
10148,Roseanna Cunningham,227,Perth,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10148,Roseanna Cunningham,227,Perth,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
10148,Roseanna Cunningham,227,Perth,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
10148,Roseanna Cunningham,227,Perthshire South and Kinross-shire,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
10168,Donald Dewar,83,Glasgow Anniesland,Labour,labour,1999-05-06,regional_election,2000-10-11,died,1
10191,Margaret Ewing,268,Moray,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10191,Margaret Ewing,268,Moray,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2006-03-21,died,2
10216,Sam Galbraith,291,Strathkelvin and Bearsden,Labour,labour,1999-05-06,regional_election,2001-05-14,resigned,1
10237,Donald Gorrie,311,Central Scotland,Liberal Democrat,liberal-democrat,1999-05-06,regional_election,2003-03-31,regional_election,1
10237,Donald Gorrie,311,Central Scotland,Liberal Democrat,liberal-democrat,2003-05-01,regional_election,2007-04-02,regional_election,2
10284,John Home Robertson,357,East Lothian,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
10284,John Home Robertson,357,East Lothian,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
10375,John McAllion,478,Dundee East,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
10395,Henry McLeish,493,Central Fife,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
10441,Alasdair Morgan,512,Galloway and Upper Nithsdale,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10441,Alasdair Morgan,512,South of Scotland,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
10441,Alasdair Morgan,512,South of Scotland,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
10525,Alex Salmond,594,Banff and Buchan,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2001-05-14,resigned,1
10525,Alex Salmond,594,Gordon,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
10525,Alex Salmond,594,Aberdeenshire East,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
10581,John Swinney,648,North Tayside,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10581,John Swinney,648,North Tayside,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
10581,John Swinney,648,North Tayside,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
10581,John Swinney,648,Perthshire North,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
10618,Jim Wallace,685,Orkney Islands,Liberal Democrat,liberal-democrat,1999-05-06,regional_election,2003-03-31,regional_election,1
10618,Jim Wallace,685,Orkney Islands,Liberal Democrat,liberal-democrat,2003-05-01,regional_election,2007-04-02,regional_election,2
10628,Andrew Welsh,695,Angus,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
10628,Andrew Welsh,695,Angus,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
10628,Andrew Welsh,695,Angus,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
11668,Ben Wallace,,North East Scotland,Conservative,conservative,1999-05-06,regional_election,2003-03-31,regional_election,1
11970,David Mundell,,South of Scotland,Conservative,conservative,1999-05-06,regional_election,2003-03-31,regional_election,1
11970,David Mundell,,South of Scotland,Conservative,conservative,2003-05-01,regional_election,2005-06-17,resigned,2
13182,Lord Selkirk of Douglas,,Lothians,Conservative,conservative,1999-05-06,regional_election,2003-03-31,regional_election,1
13182,Lord Selkirk of Douglas,,Lothians,Conservative,conservative,2003-05-01,regional_election,2007-04-02,regional_election,2
13337,Lord Steel of Aikwood,5858,Lothians,None,none,1999-05-06,regional_election,1999-05-11,became_presiding_officer,1
13337,Lord Steel of Aikwood,5858,Lothians,None,none,1999-05-12,became_presiding_officer,2003-05-06,regional_election,term/1
13943,Brian Adam,,North East Scotland,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
13943,Brian Adam,,Aberdeen North,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
13943,Brian Adam,,Aberdeen North,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13943,Brian Adam,,Aberdeen Donside,Scottish National Party,scottish-national-party,2011-05-06,regional_election,2013-04-25,died,4
13944,Bashir Ahmad,,Glasgow,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2009-02-06,died,3
13945,Bill Aitken,,Glasgow,Conservative,conservative,1999-05-06,regional_election,2003-03-31,regional_election,1
13945,Bill Aitken,,Glasgow,Conservative,conservative,2003-05-01,regional_election,2007-04-02,regional_election,2
13945,Bill Aitken,,Glasgow,Conservative,conservative,2007-05-03,regional_election,2011-03-23,regional_election,3
13946,Wendy Alexander,,Paisley North,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13946,Wendy Alexander,,Paisley North,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13946,Wendy Alexander,,Paisley North,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13947,Alasdair Allan,,Western Isles,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13947,Alasdair Allan,,Na h-Eileanan an Iar,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13948,Andrew Arbuckle,,Mid Scotland and Fife,Liberal Democrat,liberal-democrat,2005-01-10,replaced_in_region,2007-04-02,regional_election,2
13949,Jackie Baillie,,Dumbarton,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13949,Jackie Baillie,,Dumbarton,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13949,Jackie Baillie,,Dumbarton,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13949,Jackie Baillie,,Dumbarton,Labour,labour,2011-05-06,regional_election,,,4
13950,Shiona Baird,,North East Scotland,Green,green,2003-05-01,regional_election,2007-04-02,regional_election,2
13951,Claire Baker,,Mid Scotland and Fife,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13951,Claire Baker,,Mid Scotland and Fife,Labour,labour,2011-05-06,regional_election,,,4
13952,Richard Baker,,North East Scotland,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13952,Richard Baker,,North East Scotland,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13952,Richard Baker,,North East Scotland,Labour,labour,2011-05-06,regional_election,,,4
13953,Chris Ballance,,South of Scotland,Green,green,2003-05-01,regional_election,2007-04-02,regional_election,2
13954,Mark Ballard,,Lothians,Green,green,2003-05-01,regional_election,2007-04-02,regional_election,2
13955,Scott Barrie,,Dunfermline West,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13955,Scott Barrie,,Dunfermline West,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13956,Sarah Boyack,,Edinburgh Central,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13956,Sarah Boyack,,Edinburgh Central,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13956,Sarah Boyack,,Edinburgh Central,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13956,Sarah Boyack,,Lothian,Labour,labour,2011-05-06,regional_election,,,4
13957,Rhona Brankin,,Midlothian,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13957,Rhona Brankin,,Midlothian,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13957,Rhona Brankin,,Midlothian,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13958,Ted Brocklebank,,Mid Scotland and Fife,Conservative,conservative,2003-05-01,regional_election,2007-04-02,regional_election,2
13958,Ted Brocklebank,,Mid Scotland and Fife,Conservative,conservative,2007-05-03,regional_election,2011-03-23,regional_election,3
13959,Robert Brown,,Glasgow,Liberal Democrat,liberal-democrat,1999-05-06,regional_election,2003-03-31,regional_election,1
13959,Robert Brown,,Glasgow,Liberal Democrat,liberal-democrat,2003-05-01,regional_election,2007-04-02,regional_election,2
13959,Robert Brown,,Glasgow,Liberal Democrat,liberal-democrat,2007-05-03,regional_election,2011-03-23,regional_election,3
13960,Gavin Brown,,Lothians,Conservative,conservative,2007-05-03,regional_election,2011-03-23,regional_election,3
13960,Gavin Brown,,Lothian,Conservative,conservative,2011-05-06,regional_election,,,4
13961,Keith Brown,,Ochil,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13961,Keith Brown,,Clackmannanshire and Dunblane,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13962,Derek Brownlee,,South of Scotland,Conservative,conservative,2005-06-22,replaced_in_region,2007-04-02,regional_election,2
13962,Derek Brownlee,,South of Scotland,Conservative,conservative,2007-05-03,regional_election,2011-03-23,regional_election,3
13963,Bill Butler,,Glasgow Anniesland,Labour,labour,2000-11-23,by_election,2003-03-31,regional_election,1
13963,Bill Butler,,Glasgow Anniesland,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13963,Bill Butler,,Glasgow Anniesland,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13964,Rosemary Byrne,,South of Scotland,SSP,ssp,2003-05-01,regional_election,2006-09-03,changed_party,2
13964,Rosemary Byrne,,South of Scotland,SG,sg,2006-09-04,changed_party,2007-04-02,regional_election,2
13965,Colin Campbell,,West of Scotland,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
13966,Aileen Campbell,,South of Scotland,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13966,Aileen Campbell,,Clydesdale,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13967,Jackson Carlaw,,West of Scotland,Conservative,conservative,2007-05-03,regional_election,2011-03-23,regional_election,3
13967,Jackson Carlaw,,West Scotland,Conservative,conservative,2011-05-06,regional_election,,,4
13968,Willie Coffey,,Kilmarnock and Loudoun,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13968,Willie Coffey,,Kilmarnock and Irvine Valley,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13969,Angela Constance,,Livingston,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13969,Angela Constance,,Almond Valley,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13970,Cathie Craigie,,Cumbernauld and Kilsyth,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13970,Cathie Craigie,,Cumbernauld and Kilsyth,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13970,Cathie Craigie,,Cumbernauld and Kilsyth,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13971,Bruce Crawford,,Mid Scotland and Fife,Scottish National Party,scottish-national-party,1999-05-06,regional_election,2003-03-31,regional_election,1
13971,Bruce Crawford,,Mid Scotland and Fife,Scottish National Party,scottish-national-party,2003-05-01,regional_election,2007-04-02,regional_election,2
13971,Bruce Crawford,,Stirling,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13971,Bruce Crawford,,Stirling,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13972,Frances Curran,,West of Scotland,SSP,ssp,2003-05-01,regional_election,2007-04-02,regional_election,2
13973,Margaret Curran,,Glasgow Baillieston,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13973,Margaret Curran,,Glasgow Baillieston,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13973,Margaret Curran,,Glasgow Baillieston,Labour,labour,2007-05-03,regional_election,2011-03-23,regional_election,3
13974,David Davidson,,North East Scotland,Conservative,conservative,1999-05-06,regional_election,2003-03-31,regional_election,1
13974,David Davidson,,North East Scotland,Conservative,conservative,2003-05-01,regional_election,2007-04-02,regional_election,2
13975,Susan Deacon,,Edinburgh East and Musselburgh,Labour,labour,1999-05-06,regional_election,2003-03-31,regional_election,1
13975,Susan Deacon,,Edinburgh East and Musselburgh,Labour,labour,2003-05-01,regional_election,2007-04-02,regional_election,2
13976,Nigel Don,,North East Scotland,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
13976,Nigel Don,,Angus North and Mearns,Scottish National Party,scottish-national-party,2011-05-06,regional_election,,,4
13977,Bob Doris,,Glasgow,Scottish National Party,scottish-national-party,2007-05-03,regional_election,2011-03-23,regional_election,3
