id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
311,SEBIANE FODIL,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Tlemcen,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/300.jpg,Homme
313,SEGHIER NEE KHALDI HAFSA,,,ALLIANCE ALGERIE VERTE,alliance_algerie_verte,El Oued,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/17.jpg,Femme
315,SEGHIR FATMA,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Oran,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/301.jpg,Femme
316,SELT MOHAMED TAYEB,,,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,rassemblement_national_democratique,Djelfa,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/263.jpg,Homme
589,SEMMOUD MOURAD,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Tlemcen,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/302.jpg,Homme
317,SENOUCI AMINE,,,RASSEMBLEMENT NATIONAL DEMOCRATIQUE,rassemblement_national_democratique,Tlemcen,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/278.jpg,Homme
319,SI FODIL MOHAMED,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Mascara,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/280.jpg,Homme
321,SIA OMAR,,,FRONT NATIONAL DES INDEPENDANTS POUR LA CONCORDE,front_national_des_independants_pour_la_concorde,Laghouat,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/281.jpg,Homme
326,SIDI MOUSSA MOHAMED,,,FRONT DE LIBERATION NATIONALE,front_de_liberation_nationale,Blida,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/282.jpg,Homme
324,SIDI MOUSSA SALIM,,,PARTI DES TRAVAILLEURS,parti_des_travailleurs,Blida,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/272.jpg,Homme
360,SIHAMDI KHATIR,,,MOUVEMENT POPULAIRE ALGERIEN,mouvement_populaire_algerien,Mascara,People's National Assembly,7,,,http://www.apn.dz/fr/media/com_mtree/images/listings/s/279.jpg,Homme
