id,name,sortname,image,group,birth_date,group_id,area,start_date,term,source
4728,INGRID ANTIČEVIĆ MARINOVIĆ,"Antičević Marinović, Ingrid",http://www.sabor.hr/lgs.axd?t=16&id=19522,Deputy Club of the Social Democratic Party,1957-10-04,5178,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4728
4859,ANTE BABIĆ,"Babić, Ante",http://www.sabor.hr/lgs.axd?t=16&id=19523,Deputy Club of the Croatian Democratic Union,1966-05-26,5175,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4859
4971,VEDRAN BABIĆ,"Babić, Vedran",http://www.sabor.hr/lgs.axd?t=16&id=19524,Deputy Club of the Social Democratic Party,1976-12-10,5178,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4971
4973,BRANKO BAČIĆ,"Bačić, Branko",http://www.sabor.hr/lgs.axd?t=16&id=19525,Deputy Club of the Croatian Democratic Union,1959-06-07,5175,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4973
4975,JAKŠA BALOEVIĆ,"Baloević, Jakša",http://www.sabor.hr/lgs.axd?t=16&id=19527,"Deputy Club of the Democratic Centre, New Wave and People's Party - Reformists",1955-10-15,5809,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4975
4977,MARTINA BANIĆ,"Banić, Martina",http://www.sabor.hr/lgs.axd?t=16&id=19528,Deputy Club of the Croatian Democratic Union,1980-05-01,5175,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4977
4979,PETAR BARANOVIĆ,"Baranović, Petar",http://www.sabor.hr/lgs.axd?t=16&id=19529,"Deputy Club of the Democratic Centre, New Wave and People's Party - Reformists",1969-03-12,5809,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4979
4981,MILORAD BATINIĆ,"Batinić, Milorad",http://www.sabor.hr/lgs.axd?t=16&id=19530,Deputy Club of the Croatian People's Party - Liberal Democrats,1957-09-07,5176,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4981
4985,NEVENKA BEČIĆ,"Bečić, Nevenka",http://www.sabor.hr/lgs.axd?t=16&id=19531,Deputy Club of the independent MP Jadranka Kosor and the Croatian Civic Party,1958-03-05,5597,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4985
4987,DAVOR BERNARDIĆ,"Bernardić, Davor",http://www.sabor.hr/lgs.axd?t=16&id=19533,Deputy Club of the Social Democratic Party,1980-01-05,5178,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4987
4989,GORAN BEUS RICHEMBERGH,"Beus Richembergh, Goran",http://www.sabor.hr/lgs.axd?t=16&id=19534,Deputy Club of the Croatian People's Party - Liberal Democrats,1965-07-31,5176,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4989
4991,VLADIMIR BILEK,"Bilek, Vladimir",http://www.sabor.hr/lgs.axd?t=16&id=19535,Deputy Club of the Croatian People's Party - Liberal DemocratsDeputy Club of national minorities,1979-07-10,5176,12th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4991
5637,DUBRAVKO BILIĆ,"Bilić, Dubravko",http://www.sabor.hr/lgs.axd?t=16&id=41479,Deputy Club of the Social Democratic Party,1969-09-03,5178,3rd,2013-06-21,7,http://www.sabor.hr/lgs.axd?t=24&id=5637
4993,BORIS BLAŽEKOVIĆ,"Blažeković, Boris",http://www.sabor.hr/lgs.axd?t=16&id=19536,Deputy Club of the Croatian People's Party - Liberal Democrats,1955-02-24,5176,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4993
4995,VALTER BOLJUNČIĆ,"Boljunčić, Valter",http://www.sabor.hr/lgs.axd?t=16&id=19537,Deputy Club of the Istrian Democratic Assembly and the independent MP Furio Radin,1960-03-18,5181,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4995
4997,JOSIP BORIĆ,"Borić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=19538,Deputy Club of the Croatian Democratic Union,1972-10-23,5175,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4997
5001,DAVOR BOŽINOVIĆ,"Božinović, Davor",http://www.sabor.hr/lgs.axd?t=16&id=19541,Deputy Club of the Croatian Democratic Union,1961-12-27,5175,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5001
4848,KREŠIMIR BUBALO,"Bubalo, Krešimir",http://www.sabor.hr/lgs.axd?t=16&id=41480,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1973-11-05,5177,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4848
5005,DINKO BURIĆ,"Burić, Dinko",http://www.sabor.hr/lgs.axd?t=16&id=19543,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1962-08-09,5177,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5005
5481,DRAGAN CRNOGORAC,"Crnogorac, Dragan",http://www.sabor.hr/lgs.axd?t=16&id=23908,Deputy Club of the Independent Democratic Serbian PartyDeputy Club of national minorities,1978-09-04,5180,12th,2012-10-10,7,http://www.sabor.hr/lgs.axd?t=24&id=5481
5387,LJILJANA CVJETOVIĆ,"Cvjetović, Ljiljana",http://www.sabor.hr/lgs.axd?t=16&id=21236,Deputy Club of the Croatian Party of Pensioners,1950-01-15,5179,7th,2012-06-15,7,http://www.sabor.hr/lgs.axd?t=24&id=5387
5653,NADA ČAVLOVIĆ SMILJANEC,"Čavlović Smiljanec, Nada",http://www.sabor.hr/lgs.axd?t=16&id=39507,Deputy Club of the Social Democratic Party,1959-11-07,5178,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5653
4869,IGOR ČEŠEK,"Češek, Igor",http://www.sabor.hr/lgs.axd?t=16&id=19545,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1980-09-21,5177,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4869
5013,TOMISLAV ČULJAK,"Čuljak, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=19546,Deputy Club of the Croatian Democratic Union,1958-11-16,5175,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5013
4858,ADA DAMJANAC,"Damjanac, Ada",http://www.sabor.hr/lgs.axd?t=16&id=19547,Deputy Club of the Social Democratic Party,1956-01-29,5178,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4858
5017,LUKA DENONA,"Denona, Luka",http://www.sabor.hr/lgs.axd?t=16&id=19548,Deputy Club of the Social Democratic Party,1950-11-08,5178,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5017
