id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
abdulaghani_hasan_milad_altoumi,Abdulaghani Hasan Milad Altoumi,,,unknown,unknown,Wadi Ashathi,House of Representatives,1,,2014-08-04,https://www.temehu.com/pictures2/hor12/550-wadi-shathi.jpg
abdulghani_ahmed_alfthisi,Abdulghani Ahmed  Alfthisi,,,unknown,unknown,Zliten,House of Representatives,1,,,https://www.temehu.com/pictures2/hor12/abdulghani-alfthisi.jpg
abdulhafid_muhammed_alsaghir,Abdulhafid Muhammed Alsaghir,,,unknown,unknown,Awbari,House of Representatives,1,,,https://www.temehu.com/pictures3/hor13/905-awbari.jpg
abdullah_housein_allafi,Abdullah Housein  Allafi,,,unknown,unknown,Zawia,House of Representatives,1,,,https://www.temehu.com/pictures3/hor13/957-zawiyah.jpg
abdullah_muhammed_lehmish,Abdullah Muhammed  Lehmish,,,unknown,unknown,Wadi Ashathi,House of Representatives,1,,,https://www.temehu.com/pictures2/hor12/584-wadi-shathi.jpg
abdulmun'aim_emar_balkour,Abdulmun'aim Emar  Balkour,,,unknown,unknown,Ajaylat,House of Representatives,1,,,https://www.temehu.com/pictures1/hor11/523-ajilat.jpg
abdulmun'aim_faraj_alfaqih,Abdulmun'aim Faraj Alfaqih,,,unknown,unknown,Msallatah,House of Representatives,1,,,https://www.temehu.com/pictures2/hor12/158-msellatah.jpg
abdulmunaim_jum'aa_hasan,Abdulmunaim Jum'aa  Hasan,,,unknown,unknown,Merj,House of Representatives,1,,,https://www.temehu.com/pictures3/hor13/234-merj.jpg
abdulmuthalib_idris_hamed,Abdulmuthalib Idris  Hamed,,,unknown,unknown,Bayda,House of Representatives,1,,,https://www.temehu.com/pictures1/hor11/1195-bayda.jpg
abdulnabi_albashir_abdulmawla,Abdulnabi Albashir Abdulmawla,,,unknown,unknown,Zawia,House of Representatives,1,,,https://www.temehu.com/pictures1/hor11/509-zawiyah.jpg
abdulnaser_alameen_alna'as,Abdulnaser Alameen Alna'as,,,unknown,unknown,Khoms City,House of Representatives,1,,,https://www.temehu.com/pictures1/hor11/496-khoms-city.jpg
