incoming_name,existing_name,id,confidence
Cassim Faizal,Faizal Cassim,1461,100.0
Seyed Ali Zahir Moulana,Ali Zahir Moulana Seyed,1499,100.0
Pavithra Devi Wanniarachchi,Pavithradevi Wanniarachchi,174,97.77777777777777
P. Weerakumara Dissanayake,Weerakumara Dissanayake,1469,97.5609756097561
Selvam Adaikalanathan,Selvam Adaikkalanathan,1247,97.2972972972973
Charles Nirmalanathan,I. Charles Nirmalanathan,3247,97.2972972972973
Mavai Senathirajah,Mavai S. Senathirajah,196,96.7741935483871
Ashoka Abeysinghe,Ashok Abeysinghe,3144,96.29629629629629
Ajith Perera,Ajith P. Perera,3143,94.73684210526315
S. A. Jayantha Samaraweera,Jayantha Samaraweera,3225,94.44444444444444
Wasantha Senanayake,Vasantha Senanayake,3138,93.75
Bandula Gunawardane,Bandula Gunawardana,85,93.75
Ananda Kumarasiri,J. M. Ananda Kumarasiri,64,93.33333333333333
M. Velu Kumar,Velu Kumar,3230,93.33333333333333
Arumugam Thondaman,Arumugan Thondaman,106,93.33333333333333
Bimal Rathnayaka,Bimal Rathnayake,161,92.3076923076923
Susil Premajayanth,A. D. Susil Premajayantha,138,90.9090909090909
Sudarshani Fernandopulle,Sudarshini Fernandopulle,3136,90.47619047619048
Rohitha Abeygunawardena,Rohitha Abeygunawardana,234,90.0
Amith Thenuka Vidanagamage,Thenuka Vidanagamage,3163,89.47368421052632
Palitha Thewarapperuma,Palitha Kumara Thewarapperuma,3142,88.37209302325581
Aravinda Kumar,A. Aravindh Kumar,3266,86.95652173913044
Mujibur Rahman,Mujibur Rahuman,3213,86.95652173913044
Wasantha Aluvihare,Wasantha Aluwihare,3147,86.66666666666667
Lucky Jayawardena,Lucky Jayawardana,95,85.71428571428571
Champika Ranawaka,Patali Champika Ranawaka,3076,84.84848484848484
Anura Kumara Dissanayaka,Anura Dissanayaka,112,84.84848484848484
Asanka Shehan Semasinghe,Shehan Semasinghe,3151,84.84848484848484
Indika Anuruddha,Indika Anuruddha Herath,3224,83.87096774193549
Sanath Nishantha,Sanath Nishantha Perera,3261,83.87096774193549
Sidney Jayarathna,Anura Sidney Jayarathne,229,81.25
Gayantha Karunathilaka,Gayantha Karunatileka,71,81.08108108108108
Vajira Abeywardena,Wajira Abeywardana,55,80.0
Karu Paranawithana,Karunarathna Paranawithana,3269,78.94736842105263
Udaya Gammanpila,Udaya Prabhath Gammanpila,3216,78.78787878787878
Palani Digambaran,Palany Thigambaram,3160,75.86206896551724
Chandrani Bandara Jayasinghe,Chandrani Bandara,96,75.67567567567568
A. D. Champika Premadasa,A. D. Premadasa,139,74.07407407407408
Nalaka Kolonne,Nalaka Prasad Colonne,3264,74.07407407407408
Shanthi Sriskantharajah,Shanthi Sriskandarasa,3280,73.68421052631578
Geetha Kumarasinghe,Geetha Samanmalee Kumarasingha,3235,73.17073170731707
Velusami Radhakrishnan,V. S. Radhakrishnan,3153,72.72727272727273
Vidura Wickremenayake,Vidura Wickramanayaka,3141,72.22222222222221
M. Thilakarajah,Mylvaganam Thilakarajah,3234,68.75
K. Kodeeswaran,Kaveendiran Kodeeswaran,3255,64.51612903225806
Risad Badhiutheen,Rishad Bathiudeen,293,64.28571428571429
Mansoor Ibrahim,Muhammad Ibrahim Muhammad Mansoor,3253,63.1578947368421
John Seneviratne,W. D. J. Senewiratne,194,61.53846153846154
M. H. A. Haleem,Abdul Haleem,50,58.82352941176471
R. Sampanthan,Rajavarothiam Sampanthan,309,58.06451612903226
Gamini Vijith Vijithamuni Soysa,Wijith Wijayamuni Zoysa,199,57.14285714285714
S. Yogeswaran,Seeniththamby Yoheswaran,3186,45.16129032258064
