name,wikiname,party,constituency,votes,term,source
Teariki Heather,Teariki Heather,CIP,Akaoa,201,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Toanui Isamaela,Toanui Isamaela,CIP,Amuri-Ureia,203,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Teina Bishop,Teina Bishop,OCI,Arutanga-Reureu-Nikaupara,204,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Albert Taaviri Kaitara Nicholas,"",DP,Avatiu-Ruatonga-Palmerston,292,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Jim Marurai,Jim Marurai,DP,Ivirua,0,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Henry Puna,Henry Puna,CIP,Manihiki,78,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Kiriau Turepu,Kiriau Turepu,CIP,Matavera,288,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Tai Tura,Tai Tura,CIP,Mauke,82,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Tuakeu Tangatapoto,"",CIP,Mitiaro,50,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
James Beer,"",DP,Murienua,225,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Tamaiva Tuavera,"",DP,Ngatangiia,257,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Ngamau Munokoa,Ngamau Munokoa,DP,Nikao-Panama,417,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Kareroa Wesley,"",DP,Oneroa,117,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Willie John,"",CIP,Penrhyn,78,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Tekii Lazaro,Tekii Lazaro,CIP,Pukapuka-Nassau,128,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Toka Hagai,"",CIP,Rakahanga,39,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
William William Heather,"",DP,Ruaau,386,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Mark Brown,Mark Brown (Cook Islands),CIP,Takuvaine-Tutakimoa,313,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Tokorua Pareina,"",CIP,Tamarua,28,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Vainetutai Rose Toki-Brown,"",CIP,Teenui-Mapumai,71,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Nandi Glassie,Nandi Glassie,CIP,Tengatangi-Areora-Ngatiarua,88,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Selina Napa,"",DP,Titikaveka,337,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
George Angene,George Angene,OCI,Tupapa-Maraerenga,498,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Moana Ioane,Moana Ioane,CIP,Vaipae-Tautu,178,14,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2014"
Teariki Heather,Teariki Heather,CIP,Akaoa,186,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Toanui Isamaela,Toanui Isamaela,CIP,Amuri-Ureia,140,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Teina Bishop,Teina Bishop,CIP,Arutanga-Reureu-Nikaupara,168,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
John Henry,John Henry (Cook Islands),CIP,Avatiu-Ruatonga-Palmerston,237,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Jim Marurai,Jim Marurai,DP,Ivirua,60,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Henry Puna,Henry Puna,CIP,Manihiki,83,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Kiriau Turepu,Kiriau Turepu,CIP,Matavera,294,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Tai Tura,Tai Tura,CIP,Mauke,110,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Tangata Vavia,Tangata Vavia,DP,Mitiaro,54,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Tom Marsters,Tom Marsters,CIP,Murienua,171,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Atatoa Herman,Atatoa Herman,CIP,Ngatangiia,204,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Ngamau Munokoa,Ngamau Munokoa,DP,Nikao-Panama,239,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Winton Pickering,Winton Pickering,DP,Oneroa,113,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Wilkie Rasmussen,Wilkie Rasmussen,DP,Penrhyn,54,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Tekii Lazaro,Tekii Lazaro,CIP,Pukapuka-Nassau,73,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Taunga Toka,Taunga Toka,DP,Rakahanga,27,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
William (Smiley) Heather,William (Smiley) Heather,DP,Ruaau,348,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Mark Brown,Mark Brown (Cook Islands),CIP,Takuvaine-Tutakimoa,304,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Pukeiti Pukeiti,Pukeiti Pukeiti,CIP,Tamarua,31,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Norman George,Norman George,CIP,Teenui-Mapumai,75,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Nandi Glassie,Nandi Glassie,CIP,Tengatangi-Areora-Ngatiarua,81,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Robert Wigmore,Robert Wigmore,DP,Titikaveka,293,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
George Angene,George Angene,CIP,Tupapa-Maraerenga,386,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Moana Ioane,Moana Ioane,CIP,Vaipae-Tautu,133,13,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2010"
Keu Mataroa,"",DP,Akaoa,179,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Terepai Maoate Jnr,Terepai Maoate Jnr,DP,Amuri-Ureia,214,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Teina Bishop,Teina Bishop,CIP,Arutanga-Reureu-Nikaupara,179,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Albert (Peto) Nicholas,Albert (Peto) Nicholas,CIP,Avatiu-Ruatonga-Palmerston,295,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Jim Marurai,Jim Marurai,DP,Ivirua,82,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Apii Piho,Apii Piho,DP,Manihiki,115,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Cassey Eggelton,Cassey Eggelton,DP,Matavera,279,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Mapu Taia,Mapu Taia,DP,Mauke,115,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Tangata Vavia,Tangata Vavia,DP,Mitiaro,65,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Tom Marsters,Tom Marsters,CIP,Murienua,185,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Terepai Maoate,Terepai Maoate,DP,Ngatangiia,295,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Ngamau Munokoa,Ngamau Munokoa,DP,Nikao-Panama,398,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Winton Pickering,Winton Pickering,DP,Oneroa,152,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Wilkie Rasmussen,Wilkie Rasmussen,DP,Penrhyn,0,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Vai Peua,Vai Peua,CIP,Pukapuka-Nassau,155,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Piho Rua,Piho Rua,Independent,Rakahanga,42,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
William (Smiley) Heather,William (Smiley) Heather,DP,Rua'au,364,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Ngai Tupa,Ngai Tupa,DP,Takuvaine-Tutakimoa,325,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Mii Parima,Mii Parima,CIP,Tamarua,38,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Norman George,Norman George,CIP,Teenui-Mapumai,85,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Nandi Glassie,Nandi Glassie,CIP,Tengatangi-Areora-Ngatiarua,104,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Robert Wigmore,Robert Wigmore,DP,Titikaveka,325,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
John Tangi,John Tangi,DP,Tupapa-Maraerenga,461,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
Kete Ioane,Kete Ioane,DP,Vaipae-Tautu,212,12,"https://en.wikipedia.org/wiki/Cook_Islands_general_election,_2006"
