id,name,sort_name,family_name,given_name,area,group,image,term,source
9624,Andrea-Song Nicole,"Nicole, Andrea-Song",Andrea-Song,Nicole,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/andrea-song.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
10521,Backès Sonia,"Sonia, Backès",Backès,Sonia,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/Sonia-Backès.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9641,Bernut Grégoire,"Grégoire, Bernut",Bernut,Grégoire,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/bernut.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9643,Blaise Philippe,"Philippe, Blaise",Blaise,Philippe,Province Sud,"",http://www.congres.nc/wp-content/uploads/2015/01/blaise.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9644,Boehe Angy,"Angy, Boehe",Boehe,Angy,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/boehe.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9645,Bouanou Ivana,"Ivana, Bouanou",Bouanou,Ivana,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/bouanou.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9646,Brial Gil,"Gil, Brial",Brial,Gil,Province Sud,"",http://www.congres.nc/wp-content/uploads/2015/01/brial.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9647,Citre Basile,"Basile, Citre",Citre,Basile,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/citre.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9648,De Greslan Frédéric,"Frédéric, De Greslan",De Greslan,Frédéric,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/de-greslan.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9650,Dunoyer Philippe,"Philippe, Dunoyer",Dunoyer,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/dunoyer.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9651,Euriboa Francis,"Francis, Euriboa",Euriboa,Francis,Province Nord,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/euriboa.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9652,Falelavaki Henriette,"Henriette, Falelavaki",Falelavaki,Henriette,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/falelavaki.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9653,Fiafialoto-Santino Marie-Hyacintha,"Marie-Hyacintha, Fiafialoto-Santino",Fiafialoto-Santino,Marie-Hyacintha,Province Nord,CE,http://www.congres.nc/wp-content/uploads/2015/01/santino.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9654,Lecourieux Yoann,"Yoann, Lecourieux",Lecourieux,Yoann,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/lecourieux.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9655,Goa Daniel,"Daniel, Goa",Goa,Daniel,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/goa.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9656,Gomes Philippe,"Philippe, Gomes",Gomes,Philippe,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/gomes.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9657,Goromido Joseph,"Joseph, Goromido",Goromido,Joseph,Province Nord,UNI,http://www.congres.nc/wp-content/uploads/2015/01/goromido.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9658,Goyetche Marie-Pierre,"Marie-Pierre, Goyetche",Goyetche,Marie-Pierre,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/goyetche.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9659,Hmeun Marie-Françoise,"Marie-Françoise, Hmeun",Hmeun,Marie-Françoise,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/hmeun.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9660,Hnepeune Neko,"Neko, Hnepeune",Hnepeune,Neko,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/hnepeune.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9663,Holero Prisca,"Prisca, Holero",Holero,Prisca,Province Sud,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/holero.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9664,Kaloi-Bearune Isabelle,"Isabelle, Kaloi-Bearune",Kaloi-Bearune,Isabelle,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/kaloi-bearune.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9665,Lafleur Isabelle,"Isabelle, Lafleur",Lafleur,Isabelle,Province Sud,Les Républicains,http://www.congres.nc/wp-content/uploads/2015/01/lafleur.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9666,Lagneau Martine,"Martine, Lagneau",Lagneau,Martine,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/lagneau.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9667,Lalie Jacques,"Jacques, Lalie",Lalie,Jacques,Province des îles loyauté,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/lalie.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9668,Jandot Monique,"Monique, Jandot",Jandot,Monique,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/jandot.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9669,Lucas-Julie Nina,"Nina, Lucas-Julie",Lucas-Julie,Nina,Province Sud,CE,http://www.congres.nc/wp-content/uploads/2015/01/julie.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9670,Machoro-Reigner Caroline,"Caroline, Machoro-Reigner",Machoro-Reigner,Caroline,Province Nord,UC-FLNKS et Nationalistes,http://www.congres.nc/wp-content/uploads/2015/01/machro-reigner.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
9671,Mapou Louis,"Louis, Mapou",Mapou,Louis,Province Sud,UNI,http://www.congres.nc/wp-content/uploads/2015/01/mapou.jpg,4,http://www.congres.nc/assemblee/les-elus/?panel=5
