name,party,role,constituency,term,source,party_id,wikipedia
Christopher J. Loeak,Aelon Kein Ad,President of the Republic of the Marshall Islands,Ailinglaplap Atoll,2012,http://www.rmiparliament.org/members,AKA,
Donald F. Capelle,United Democratic Party,Speaker of the Nitijela,Likiep Atoll,2012,http://www.rmiparliament.org/members,UDP,
Caios Lucky,Aelon Kein Ad,Vice Speaker of the Nitijela,Ujae Atoll,2012,http://www.rmiparliament.org/members,AKA,
Wilbur Heine,Aelon Kein Ad,Minister in Assistance to the President,Mili Atoll,2012,http://www.rmiparliament.org/members,AKA,https://en.wikipedia.org/wiki/Wilbur_Heine
Tony deBrum,Aelon Kein Ad,Minister of Foreign Affairs,Kwajalein Atoll,2012,http://www.rmiparliament.org/members,AKA,
Jack J. Ading,Kien Eo Am,Minister of Finance,Enewetak Atoll,2012,http://www.rmiparliament.org/members,KEA,
Hilda C. Heine,Aelon Kein Ad,Minister of Education,Aur Atoll,2012,http://www.rmiparliament.org/members,AKA,
David Kabua,Aelon Kein Ad,Minister of Internal Affairs,Wotho Atoll,2012,http://www.rmiparliament.org/members,AKA,https://en.wikipedia.org/wiki/David_Kabua
Phillip Muller,Aelon Kein Ad,Minister of Health,Majuro Atoll,2012,http://www.rmiparliament.org/members,AKA,
Michael Konelios,United Democratic Party,Minister of Resources and Development,Maloelap Atoll,2012,http://www.rmiparliament.org/members,UDP,
Thomas Heine,Aelon Kein Ad,Minister of Transportation and Communications,Lae Atoll,2012,http://www.rmiparliament.org/members,AKA,https://en.wikipedia.org/wiki/Thomas_Heine
Hiroshi V. Yamamura,Aelon Kein Ad,Minister of Public Work,Utirik Atoll,2012,http://www.rmiparliament.org/members,AKA,https://en.wikipedia.org/wiki/Hiroshi_V._Yamamura
Rien Morris,United Democratic Party,Minister of Justice,Jaluit Atoll,2012,http://www.rmiparliament.org/members,UDP,https://en.wikipedia.org/wiki/Rien_Morris
Alvin T. Jacklick,Kien Eo Am,"",Jaluit Atoll,2012,http://www.rmiparliament.org/members,KEA,
Brenson S. Wase,Kien Eo Am,"",Majuro Atoll,2012,http://www.rmiparliament.org/members,KEA,
David Kramer,Kien Eo Am,"",Majuro Atoll,2012,http://www.rmiparliament.org/members,KEA,
Dennis Momotaro,United People's Party,"",Mejit Island,2012,http://www.rmiparliament.org/members,UPP,https://en.wikipedia.org/wiki/Dennis_Momotaro
Jeban Riklon,Aelon Kein Ad,"",Kwajalein Atoll,2012,http://www.rmiparliament.org/members,AKA,
Jerakoj J. Bejang,Aelon Kein Ad,"",Lib Island,2012,http://www.rmiparliament.org/members,AKA,
Jiba B. Kabua,Aelon Kein Ad,"",Arno Atoll,2012,http://www.rmiparliament.org/members,AKA,
John M. Silk,Kien Eo Am,"",Ebon Atoll,2012,http://www.rmiparliament.org/members,KEA,
Jurelang Zedkaia,Kien Eo Am,"",Majuro Atoll,2012,http://www.rmiparliament.org/members,KEA,
Kenneth Kedi,Independent,"",Rongelap Atoll,2012,http://www.rmiparliament.org/members,IND,
Kessai H. Note,United Democratic Party,"",Jabat Island,2012,http://www.rmiparliament.org/members,UDP,
Litokwa Tomeing,United People's Party,"",Wotje Atoll,2012,http://www.rmiparliament.org/members,UPP,
Maynard Alfred,Kien Eo Am,"",Ailuk Atoll,2012,http://www.rmiparliament.org/members,KEA,
Mattlan Zackhras,United Democratic Party,"",Namdrik Atoll,2012,http://www.rmiparliament.org/members,UDP,
Michael Kabua,Aelon Kein Ad,"",Kwajalein Atoll,2012,http://www.rmiparliament.org/members,AKA,
Nidel Lorak,United People's Party,"",Arno Atoll,2012,http://www.rmiparliament.org/members,UPP,
Ruben R. Zackhras,United Democratic Party,"",Ailinglaplap Atoll,2012,http://www.rmiparliament.org/members,UDP,
Tomaki Juda,United Democratic Party,"",Kili Island,2012,http://www.rmiparliament.org/members,UDP,
Tony Aiseia,Aelon Kein Ad,"",Namu Atoll,2012,http://www.rmiparliament.org/members,AKA,
Tony Muller,Kien Eo Am,"",Majuro Atoll,2012,http://www.rmiparliament.org/members,KEA,
