id,name,sort_name,gender,email,area,group,group_id,term
947,Ricardo Rincón González,Rincón,male,rrincon,33,Partido Demócrata Cristiano,DC,8
948,Gaspar Rivas Sánchez,Rivas,male,grivas,11,Independientes,IND,8
949,Marcela Sabat Fernández,Sabat,female,msabat,21,Renovación Nacional,RN,8
950,René Saffirio Espinoza,Saffirio,male,rsaffirio,50,Partido Demócrata Cristiano,DC,8
951,David Sandoval Plaza,Sandoval,male,dsandoval,59,Unión Demócrata Independiente,UDI,8
952,Alejandro Santana Tirachini,Santana,male,asantana,58,Renovación Nacional,RN,8
954,Ernesto Silva Méndez,Silva,male,esilva,23,Unión Demócrata Independiente,UDI,8
955,Arturo Squella Ovalle,Squella,male,asquella,12,Unión Demócrata Independiente,UDI,8
956,Guillermo Teillier Del Valle,Teillier,male,gteillier,28,Partido Comunista,PC,8
957,Víctor Torres Jeldes,Torres,male,vtorres,15,Partido Demócrata Cristiano,DC,8
958,Joaquín Tuma Zedan,Tuma,male,jtuma,51,Partido Por la Democracia,PPD,8
959,Enrique Van Rysselberghe Herrera,Van Rysselberghe,male,evr,44,Unión Demócrata Independiente,UDI,8
963,Matías Walker Prieto,Walker,male,mwalker,8,Partido Demócrata Cristiano,DC,8
967,Issa Kort Garriga,Kort,male,ikort,32,Unión Demócrata Independiente,UDI,8
968,Jenny Alvarez Vera,Alvarez,female,jenny.alvarez,58,Partido Socialista,PS,8
969,Claudio Arriagada Macaya,Arriagada,male,claudio.arriagada,25,Partido Demócrata Cristiano,DC,8
970,Jaime Bellolio Avaria,Bellolio,male,jaime.bellolio,30,Unión Demócrata Independiente,UDI,8
971,Bernardo Berger Fett,Berger,male,bernardo.berger,53,Renovación Nacional,RN,8
972,Gabriel Boric Font,Boric,male,gabriel.boric,60,Independientes,IND,8
973,Karol Cariola Oliva,Cariola,female,karol.cariola,19,Partido Comunista,PC,8
974,Loreto Carvajal Ambiado,Carvajal,female,loreto.carvajal,42,Partido Por la Democracia,PPD,8
975,Daniella Cicardini Milla,Cicardini,female,daniella.cicardini,5,Partido Socialista,PS,8
976,Juan Antonio Coloma Alamos,Coloma,male,juanantoniocoloma,31,Unión Demócrata Independiente,UDI,8
977,Marcelo Chávez Velásquez,Chávez,male,marcelo.chavez,45,Partido Demócrata Cristiano,DC,8
978,Felipe De Mussy Hiriart,De Mussy,male,fdemussy,56,Unión Demócrata Independiente,UDI,8
979,Sergio Espejo Yaksic,Espejo,male,sergio.espejo,35,Partido Demócrata Cristiano,DC,8
980,Daniel Farcas Guendelman,Farcas,male,daniel.farcas,17,Partido Por la Democracia,PPD,8
981,Maya Fernández Allende,Fernández,female,maya.fernandez,21,Partido Socialista,PS,8
982,Iván Flores García,Flores,male,ivan.flores,53,Partido Demócrata Cristiano,DC,8
983,Iván Fuentes Castillo,Fuentes,male,ivan.fuentes,59,Independientes,IND,8
984,Gonzalo Fuenzalida Figueroa,Fuenzalida,male,gonzalo.fuenzalida,54,Renovación Nacional,RN,8
985,Sergio Gahona Salazar,Gahona,male,sergio.gahona,7,Unión Demócrata Independiente,UDI,8
986,Marcela Hernando Pérez,Hernando,female,marcela.hernando,4,Partido Radical Social Demócrata,PRSD,8
987,Giorgio Jackson Drago,Jackson,male,giorgio.jackson,22,Independientes,IND,8
988,Felipe Kast Sommerhoff,Kast,male,felipe.kast,22,Independientes,IND,8
989,Joaquín Lavín León,Lavín,male,joaquin.lavin,20,Unión Demócrata Independiente,UDI,8
990,Daniel Melo Contreras,Melo,male,daniel.melo,27,Partido Socialista,PS,8
991,Vlado Mirosevic Verdugo,Mirosevic,male,vlado.mirosevic,1,Partido Liberal de Chile,PL,8
992,Juan Enrique Morano Cornejo,Morano,male,juan.morano,60,Partido Demócrata Cristiano,DC,8
993,Daniel Núñez Arancibia,Núñez,male,daniel.nunez,8,Partido Comunista,PC,8
994,Paulina Núñez Urrutia,Núñez,female,paulina.nunez,4,Renovación Nacional,RN,8
995,Diego Paulsen Kehr,Paulsen,male,diego.paulsen,49,Renovación Nacional,RN,8
996,Jaime Pilowsky Greene,Pilowsky,male,jaime.pilowsky,24,Partido Demócrata Cristiano,DC,8
997,Roberto Poblete Zapata,Poblete,male,roberto.poblete,47,Independientes,IND,8
998,Yasna Provoste Campillay,Provoste,female,yasna.provoste,6,Partido Demócrata Cristiano,DC,8
999,Jorge Rathgeb Schifferli,Rathgeb,male,jorge.rathgeb,48,Renovación Nacional,RN,8
1000,Luis Rocafull López,Rocafull,male,luis.rocafull,1,Partido Socialista,PS,8
1001,Raúl Saldívar Auger,Saldívar,male,raul.saldivar,7,Partido Socialista,PS,8
1002,Leonardo Soto Ferrada,Soto,male,leonardo.soto,30,Partido Socialista,PS,8
1003,Renzo Trisotti Martínez,Trisotti,male,renzo.trisotti,2,Unión Demócrata Independiente,UDI,8
1004,Christian Urízar Muñoz,Urízar,male,christian.urizar,10,Partido Socialista,PS,8
1005,Osvaldo Urrutia Soto,Urrutia,male,osvaldo.urrutia,14,Unión Demócrata Independiente,UDI,8
1006,Camila Vallejo Dowling,Vallejo,female,camila.vallejo,26,Partido Comunista,PC,8
800,Enrique Accorsi Opazo,Accorsi,male,eaccorsi,24,Partido Por la Democracia,PPD,6
802,Sergio Aguiló Melo,Aguiló,male,saguilo,37,Izquierda Ciudadana,IC,6
803,René Alinco Bustos,Alinco,male,ralinco,59,Independientes,IND,6
808,Pedro Araya Guerrero,Araya,male,paraya,4,Partido Regionalista Independiente,PRI,6
809,Gonzalo Arenas Hödar,Arenas,male,garenas,48,Unión Demócrata Independiente,UDI,6
810,Gabriel Ascencio Mansilla,Ascencio,male,ascencio,58,Partido Demócrata Cristiano,DC,6
811,Ramón Barros Montero,Barros,male,jbarros,35,Unión Demócrata Independiente,UDI,6
812,Eugenio Bauer Jouanne,Bauer,male,ebauer,33,Unión Demócrata Independiente,UDI,6
813,Germán Becker Alvear,Becker,male,gbecker,50,Renovación Nacional,RN,6
814,Mario Bertolino Rendic,Bertolino,male,mbertoli,7,Renovación Nacional,RN,6
815,Sergio Bobadilla Muñoz,Bobadilla,male,sbobadilla,45,Unión Demócrata Independiente,UDI,6
816,Jorge Burgos Varela,Burgos,male,jburgos,21,Partido Demócrata Cristiano,DC,6
818,Alberto Cardemil Herrera,Cardemil,male,acardemil,22,Renovación Nacional,RN,6
819,Guillermo Ceroni Fuentes,Ceroni,male,gceroni,40,Partido Por la Democracia,PPD,6
822,María Angélica Cristi Marfil,Cristi,female,macristi,24,Unión Demócrata Independiente,UDI,6
824,Alfonso De Urresti Longton,De Urresti,male,adeurresti,53,Partido Socialista,PS,6
825,Roberto Delmastro Naso,Delmastro,male,rdelmast,53,Independientes,IND,6
