source,name,area,area_id,wikiname,party,term,id
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Michael Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,2001,michael_summers
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Stephen Luxton,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,2001,stephen_luxton
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",John Birmingham,Stanley,ocd-division/country:fk/constituency:stanley,John Birmingham (politician),Independent,2001,john_birmingham
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,2001,jan_cheek
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Richard Cockwell,Stanley,ocd-division/country:fk/constituency:stanley,Richard Cockwell,Independent,2001,richard_cockwell
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,2001,norma_edwards
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Roger Edwards,Camp,ocd-division/country:fk/constituency:camp,Roger Edwards (politician),Independent,2001,roger_edwards
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",Philip Miller,Camp,ocd-division/country:fk/constituency:camp,,Independent,2001,philip_miller
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,1997,jan_cheek
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Mike Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,1997,mike_summers
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Lewis Clifton,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1997,lewis_clifton
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",John Birmingham,Stanley,ocd-division/country:fk/constituency:stanley,John Birmingham (politician),Independent,1997,john_birmingham
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Sharon Halford,Stanley,ocd-division/country:fk/constituency:stanley,Sharon Halford,Independent,1997,sharon_halford
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,1997,bill_luxton
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Richard Cockwell,Camp,ocd-division/country:fk/constituency:camp,Richard Cockwell,Independent,1997,richard_cockwell
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,1997,norma_edwards
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,1993,bill_luxton
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Eric Goss,Camp,ocd-division/country:fk/constituency:camp,,Independent,1993,eric_goss
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,1993,norma_edwards
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Richard Stevens,Camp,ocd-division/country:fk/constituency:camp,Richard Stevens (Falkland Islands politician),Independent,1993,richard_stevens
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Charles Keenleyside,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1993,charles_keenleyside
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",John Cheek,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1993,john_cheek
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Wendy Teggart,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1993,wendy_teggart
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",Sharon Halford,Stanley,ocd-division/country:fk/constituency:stanley,Sharon Halford,Independent,1993,sharon_halford
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,1989,bill_luxton
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Norma Edwards,Camp,ocd-division/country:fk/constituency:camp,,Independent,1989,norma_edwards
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Ron Binnie,Camp,ocd-division/country:fk/constituency:camp,,Independent,1989,ron_binnie
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Kevin Kilmartin,Camp,ocd-division/country:fk/constituency:camp,,Independent,1989,kevin_kilmartin
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Harold Rowlands,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1989,harold_rowlands
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Terry Peck,Stanley,ocd-division/country:fk/constituency:stanley,Terry Peck,Independent,1989,terry_peck
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",Gavin Short,Stanley,ocd-division/country:fk/constituency:stanley,Gavin Short,Independent,1989,gavin_short
"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989","Gerrard ""Fred"" Robson",Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1989,"gerrard_""fred""_robson"
