name,group,area,term,id,image,source
"Almando ""Rocky"" Liburd",Independent,Senator at Large,2014,almando-rocky-liburd,http://www.legvi.org/images/Senators/SenAlmandoLiburd.jpg,http://www.legvi.org/index.php/senator-almando-rocky-liburd
Marvin A. Blyden,Democratic,St. Thomas-St. John,2014,marvin-blyden,http://www.legvi.org/images/Senators/SenMarvinBlyden.jpg,http://www.legvi.org/index.php/senator-marvin-blyden
Myron D. Jackson,Democratic,St. Thomas-St. John,2014,myron-d-jackson,http://www.legvi.org/images/Senators/SenMyronJackson.jpg,http://www.legvi.org/index.php/senator-myron-d-jackson
Clifford Graham,Democratic,St. Thomas-St. John,2014,clifford-f-graham,http://www.legvi.org/images/Senators/SenCliffordGraham.jpg,http://www.legvi.org/index.php/senator-clifford-f-graham
Tregenza A Roach,Independent,St. Thomas-St. John,2014,tregenza-a-roach-esq,http://www.legvi.org/images/Senators/SenTregenzaRoach.jpg,http://www.legvi.org/index.php/senator-tregenza-a-roach-esq
Jean Forde,Democratic,St. Thomas-St. John,2014,jean-a-forde,http://www.legvi.org/images/Senators/SenJeanAFord.jpg,http://www.legvi.org/index.php/senator-jean-a-forde
Janette Millin Young,Democratic,St. Thomas-St. John,2014,janette-millin-young,http://www.legvi.org/images/Senators/SenJanetteYoung.jpg,http://www.legvi.org/index.php/senator-janette-millin-young
"Justin Harrigan, Sr.",Democratic,St. Thomas-St. John,2014,justin-harrigan-sr,http://www.legvi.org/images/Senators/SenJustinHarrigan.jpg,http://www.legvi.org/index.php/senator-justin-harrigan-sr
Kurt Vialet,Democratic,St. Croix,2014,kurt-a-vialet,http://www.legvi.org/images/Senators/SenKurtVialet.jpg,http://www.legvi.org/index.php/senator-kurt-a-vialet
Novelle E. Francis,Democratic,St. Croix,2014,novelle-e-francis-jr,http://www.legvi.org/images/Senators/SenNovelleFrancis.jpg,http://www.legvi.org/index.php/senator-novelle-e-francis-jr
Samuel Sanes,Democratic,St. Croix,2014,sammuel-sanes,http://www.legvi.org/images/Senators/SenSammuelSanes.jpg,http://www.legvi.org/index.php/senator-sammuel-sanes
Kenneth Kenny Gittens,Democratic,St. Croix,2014,kenneth-l-gittens,http://www.legvi.org/images/Senators/SenKennethGittens.jpg,http://www.legvi.org/index.php/senator-kenneth-l-gittens
Neville James,Democratic,St. Croix,2014,neville-a-james,http://www.legvi.org/images/Senators/SenNevilleJames.jpg,http://www.legvi.org/index.php/senator-neville-a-james
T. Positive Nelson,Independent Citizens Movement,St. Croix,2014,terrance-a-nelson,http://www.legvi.org/images/Senators/SenTerrenceNelson.jpg,http://www.legvi.org/index.php/senator-terrance-a-nelson
Nereida Rivera O' Reilly,Independent,St. Croix,2014,nereida-rivera-o-reilly,http://www.legvi.org/images/Senators/SenNereidaOReilly.jpg,http://www.legvi.org/index.php/senator-nereida-rivera-o-reilly
