name,wikiname,area,area_id,term,source,end_date,start_date,replaced
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Monise Lafai,Monise Lafai,Nanumanga,ocd-division/country:tv/constituency:nanumanga,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Otinielu Tausi,Otinielu Tausi,Nanumanga,ocd-division/country:tv/constituency:nanumanga,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Satini Manuella,Satini Manuella,Nanumea,ocd-division/country:tv/constituency:nanumea,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Fauoa Maani,Fauoa Maani,Niutao,ocd-division/country:tv/constituency:niutao,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Samuelu Teo,Samuelu Teo,Niutao,ocd-division/country:tv/constituency:niutao,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Mackenzie Kiritome,Mackenzie Kiritome,Nui,ocd-division/country:tv/constituency:nui,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Puakena Boreham,Puakena Boreham,Nui,ocd-division/country:tv/constituency:nui,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Enele Sopoaga,Enele Sopoaga,Nukufetau,ocd-division/country:tv/constituency:nukufetau,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Elisala Pita,Elisala Pita,Nukufetau,ocd-division/country:tv/constituency:nukufetau,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Namoliki Sualiki,Namoliki Sualiki,Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Apisai Ielemia,Apisai Ielemia,Vaitupu,ocd-division/country:tv/constituency:vaitupu,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Taukelina Finikaso,Taukelina Finikaso,Vaitupu,ocd-division/country:tv/constituency:vaitupu,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,
Monise Lafai,Monise Lafai,Nanumaga,ocd-division/country:tv/constituency:nanumaga,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,
Falesa Pitoi,Falesa Pitoi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-01-14,,
Otinielu Tausi,Otinielu Tausi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-01-14,Falesa Pitoi
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,
Willy Telavi,Willy Telavi,Nanumea,ocd-division/country:tv/constituency:nanumea,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-09-19,,
