id,name,start_date,source,end_date
11,11th Parliament,2015-03-31,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",
10,10th Parliament,2010-09-16,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2015-03-30
9,9th Parliament,2006-08-03,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",2010-09-16
