name,region,area_id,area,party,term,source
Garcia DELVA,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:1,Dessalines,LAVNI,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
G. Vernex CYRIUS,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:2,Pte Rivière de l'Artibonite,RASANBLE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph Wilbert DESHOMMES,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:3,Grande Saline,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Levaillant LOUIS JEUNE,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:dessalines/circonscription:4,Desdunes,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Sadrac DIEUDONNÉ,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:1,Gonaives,MOCHRENA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jules LyoneL ANELUS,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:2,L'Estère,ANSANM NOU FÒ,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Chancy CHOLZER,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gonaives/circonscription:3,Ennery,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Fritz CHERY,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gros_morne/circonscription:1,Gros Morne,AAA,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Jodson Leroy ROSEMOND,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:gros_morne/circonscription:2,Anse Rouge et Terre Neuve,INDÉP.,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
Joseph PATRICK,DÉPARTEMENT de l'ARTIBONITE,ocd-division/country:ht/departement:artibonite/arrondissement:marmelade/circonscription:1,Marmelade et St Michel,INITE,2011,http://www.haiti-reference.com/politique/legislatif/49eme_legis.php
