id,legacy
e84f5b46-13da-45ca-a0c2-4f1b54dbe114,145
532945fc-1f8f-432d-ba31-b37924739b82,112
bf800b02-3dc7-41a8-86ee-54095afd1aa0,122
fef1870e-c873-4866-9168-1a219d13483d,91
265baf12-f252-4e5c-9929-918045dabdd4,121
2a74087e-a4d8-4e85-bba7-61eff8e742ef,156
adc1c229-1155-4404-b1c1-8fdd5862c29a,149
21c4edec-59bc-4108-ae2d-4158e8e556e0,93
15a2b25e-b68d-450a-b653-db7b43373965,126
b109e02c-776a-4552-8e7d-6040bb99269f,79
518f1bbc-a30a-4370-8e04-7db46553d46e,141
819892fa-d42f-40ff-9451-f41955499cfd,154
0a135696-8f9e-429e-80a8-54967b58c9e3,162
75fae0ff-5cfa-41ca-8f08-fff1cf454fa1,118
402ba3aa-6dbd-4c71-aeb4-6e9181c40301,89
36ec2c41-7cb6-472e-bf7b-ca83dac3e34b,105
4736c9e6-7222-4471-9f86-623351b7fb8c,113
d18a4fc3-36d8-4302-9ef0-f9aa8f111168,119
f72a02a2-faae-4a0e-8128-d7921887975f,143
95f038c4-5c2b-40b3-8689-b0ec39719358,159
d205d65f-9e08-4173-84dd-14998be90319,147
42e51e7a-8fa7-466a-bd00-d60025cde655,158
9bf16278-bac9-4560-b3ec-3c468bed3c06,84
b98229a1-af3d-40e3-8486-afa311e1235b,98
f3475d1a-1f8f-497a-85a4-d4336a92aca0,127
1676b728-9a65-48c0-9cff-a539dc2c906c,80
ab248cf4-8f38-4b22-8dbb-9724d0981e54,97
91edbaf6-7b70-47fb-a781-9e9f4b475a2d,153
3227e644-a42a-40c4-8a19-caf7d9b965cc,150
e38bc802-e76a-494b-9a20-d39f0316663b,99
d34ac286-68b5-4a0f-b25f-708b0625813e,107
436a9e40-b3cc-4af1-9525-f2c0677c8926,148
f5f50531-d34c-42ae-9db6-f245d14f90b9,95
03d1c41f-38ff-4247-9af2-1db8fa19c488,78
3a5fab5c-532c-48f6-beec-a18bea0a823a,155
8f5e52ce-fa3d-43ba-bbac-2792c54af6cc,115
5fd836cb-97b2-4244-8f1e-c980bfaa323d,110
8123817a-869c-4875-b821-328ef561bbb3,123
24a93c01-8dd9-423a-bea2-019c90987b20,160
f82d148b-54ca-420c-8e18-fdd2a164a134,82
7a4d4640-d6bb-4637-a00a-43ea78b516d4,81
7b2b18ae-72eb-46c9-a8c7-f7239d44b0e5,157
d0c315ed-3e0e-4b8f-aaaf-2897edc47758,152
5106b180-64a7-4967-af14-c340038a0a17,142
d23d6c79-0b11-4ca0-bab4-0deeb9a2d4f5,163
a70b39db-5479-4afa-b914-eb4a6a4399d4,129
510908d6-7fd1-4418-b3f8-2d576183b037,131
d030b18c-48de-495d-968a-8917f007eee2,103
e4bbf6ea-eceb-4cbe-aa3e-0232f8bfaeca,151
b6251eb0-6b70-40be-bed6-e3ae9ecb5544,144
2586abcf-b6f7-4022-9c70-9acdf224cb11,161
bc0fbbed-b687-4283-9257-8ef241bbc082,116
b4265b71-3e23-4ffb-8290-b6f4a4649528,146
