id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
66,Alicja Zając,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/66/image.jpeg
75,Andrzej Grzyb,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/75/image.jpeg
80,Andrzej Misiołek,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/80/image.jpeg
35,Andrzej Owczarek,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/35/image.jpeg
22,Andrzej Person,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/22/image.jpeg
78,Andrzej Szewiński,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/78/image.jpeg
82,Antoni Motyczka,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/82/image.jpeg
53,Barbara Borys-Damięcka,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/53/image.jpeg
74,Bogdan Borusewicz,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/74/image.jpeg
68,Bohdan Paszkowski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/68/image.jpeg
249,Czesław Ryszka,,,Unknown,_unknown,,Senat,chamber_VII,2015-02-27,,http://files.parldata.eu/pl/senat/people/249/image.jpeg
73,Edmund Wittbrodt,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/73/image.jpeg
108,Grażyna Sztark,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/108/image.jpeg
24,Grzegorz Czelej,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/24/image.jpeg
38,Grzegorz Wojciechowski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/38/image.jpeg
56,Henryk Górski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/56/image.jpeg
102,Ireneusz Niewiarowski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/102/image.jpeg
100,Jadwiga Rotnicka,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/100/image.jpeg
19,Jan Rulewski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/19/image.jpeg
20,Jan Wyrowiński,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/20/image.jpeg
41,Janusz Sepioł,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/41/image.jpeg
15,Jarosław Duda,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/15/image.jpeg
28,Jerzy Chróścikowski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/28/image.jpeg
65,Kazimierz Jaworski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/65/image.jpeg
71,Kazimierz Kleina,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/71/image.jpeg
44,Kazimierz Wiatr,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/44/image.jpeg
83,Leszek Piechota,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/83/image.jpeg
32,Maciej Grubski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/32/image.jpeg
43,Maciej Klima,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/43/image.jpeg
96,Marek Konopka,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/96/image.jpeg
52,Marek Rocki,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/52/image.jpeg
99,Marek Ziółkowski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/99/image.jpeg
79,Maria Pańczyk-Pozdziej,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/79/image.jpeg
21,Michał Wojtczak,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/21/image.jpeg
97,Mieczysław Augustyn,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/97/image.jpeg
101,Piotr Gruszczyński,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/101/image.jpeg
61,Piotr Wach,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/61/image.jpeg
109,Piotr Zientarski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/109/image.jpeg
34,Przemysław Błaszczyk,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/34/image.jpeg
87,Rafał Muchacki,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/87/image.jpeg
95,Ryszard Górecki,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/95/image.jpeg
60,Ryszard Knosala,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/60/image.jpeg
23,Stanisław Gogacz,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/23/image.jpeg
94,Stanisław Gorczyca,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/94/image.jpeg
29,Stanisław Iwan,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/29/image.jpeg
14,Stanisław Jurcewicz,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/14/image.jpeg
58,Stanisław Karczewski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/58/image.jpeg
46,Stanisław Kogut,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/46/image.jpeg
57,Waldemar Kraska,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/57/image.jpeg
37,Wiesław Dobkowski,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/37/image.jpeg
59,Wojciech Skurkiewicz,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/59/image.jpeg
64,Władysław Ortyl,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/64/image.jpeg
70,Włodzimierz Cimoszewicz,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/70/image.jpeg
85,Zbigniew Meres,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/85/image.jpeg
246,Zdzisław Pupa,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/246/image.jpeg
50,Łukasz Abgarowicz,,,Unknown,_unknown,,Senat,chamber_VII,,,http://files.parldata.eu/pl/senat/people/50/image.jpeg
