id,name,group,area,image,term,source
E180B1E18092E1819AE18081E18084E180B9E180B1E18085E180ACE2808BE180B1E1809D,ေဒၚခင္ေစာ​ေဝ,ရခိုင္တိုင္းရင္းသားမ်ားတိုးတက္ေရးပါတီ,ရေသ့ေတာင္ ​ မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/03/03/13.%E1%80%B1%E1%80%92%E1%81%9A%E1%80%81%E1%80%84%E1%80%B9%E1%80%B1%E1%80%85%E1%80%AC%E1%80%B1%E1%81%80%20%28%E1%80%9B%E1%80%B1%E1%80%9E%E1%80%B7%E1%80%B1%E1%80%90%E1%80%AC%E1%80%84%E1%80%B9%29.jpg?itok=s6UZObGm,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%B1%E1%80%92%E1%81%9A%E1%80%81%E1%80%84%E1%80%B9%E1%80%B1%E1%80%85%E1%80%AC%E2%80%8B%E1%80%B1%E1%80%9D
E180A6E180B8E1809EE180ADE18094E180B9E180B8E180B1E180A1E180ACE18084E180B9,ဦးသိန္းေအာင္,မြန္ေဒသလံုးဆိုင္ရာဒီမိုကေရစီပါတီ,သံျဖဴဇရပ္ မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/10.%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%9E%E1%80%AD%E1%80%94%E1%80%B9%E1%80%B8%E1%80%B1%E1%80%A1%E1%80%AC%E1%80%84%E1%80%B9%28%E1%80%9E%E1%80%B6%E1%80%BB%E1%80%96%E1%80%B4%E1%80%87%E1%80%9B%E1%80%95%E1%80%B9%29.jpg?itok=OIWtUDRj,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%A6%E1%80%B8%E1%80%9E%E1%80%AD%E1%80%94%E1%80%B9%E1%80%B8%E1%80%B1%E1%80%A1%E1%80%AC%E1%80%84%E1%80%B9
E180A6E180B8E1809CE180BDE180B1E18099E180ACE18084E180B9,ဦးလွေမာင္,မြန္ေဒသလံုးဆိုင္ရာဒီမိုကေရစီပါတီ,ေခ်ာင္းဆံု မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/3.%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%9C%E1%80%BD%E1%80%B1%E1%80%99%E1%80%AC%E1%80%84%E1%80%B9%20%28%E1%80%B1%E1%80%81%E1%80%BA%E1%80%AC%E1%80%84%E1%80%B9%E1%80%B8%E1%80%86%E1%80%B6%E1%80%AF%29.jpg?itok=mgOPxcxZ,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%A6%E1%80%B8%E1%80%9C%E1%80%BD%E1%80%B1%E1%80%99%E1%80%AC%E1%80%84%E1%80%B9
E180B1E18092E1819AE18099E180ADE180BBE18099E18084E180B9E180B7E1809EE18094E180B9E180B8,ေဒၚမိျမင့္သန္း,မြန္ေဒသလံုးဆိုင္ရာဒီမိုကေရစီပါတီ,ေရး ​ မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/8.%E1%80%B1%E1%80%92%E1%81%9A%E1%80%99%E1%80%AD%E1%80%BB%E1%80%99%E1%80%84%E1%80%B9%E1%80%B7%E1%80%9E%E1%80%94%E1%80%B9%E1%80%B8%20%28%E1%80%B1%E1%80%9B%E1%80%B8%29.jpg?itok=gdQWZVkk,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%B1%E1%80%92%E1%81%9A%E1%80%99%E1%80%AD%E1%80%BB%E1%80%99%E1%80%84%E1%80%B9%E1%80%B7%E1%80%9E%E1%80%94%E1%80%B9%E1%80%B8
E180A6E180B8E180BBE18099E18084E180B9E180B7E1809CE180BCE18084E180B9,ဦးျမင့္လြင္,ျပည္ေထာင္စုႀကံ႕ခိုင္ေရးႏွင့္ဖြံ႔ျဖိဳးေရးပါတီ,က်ိဳက္ထို ​ မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/1.%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%BB%E1%80%99%E1%80%84%E1%80%B9%E1%80%B7%E1%80%9C%E1%80%BC%E1%80%84%E1%80%B9%20%28%E1%80%80%E1%80%BA%E1%80%AD%E1%80%B3%E1%80%80%E1%80%B9%E1%80%91%E1%80%AD%E1%80%AF%29.jpg?itok=fg8nuHle,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%A6%E1%80%B8%E1%80%BB%E1%80%99%E1%80%84%E1%80%B9%E1%80%B7%E1%80%9C%E1%80%BC%E1%80%84%E1%80%B9
E180A6E180B8E181BFE18099E1809EE180ADE18094E180B9E180B8,ဦးၿမသိန္း,ျပည္ေထာင္စုႀကံ႕ခိုင္ေရးႏွင့္ဖြံ႔ျဖိဳးေရးပါတီ,မုဒံု မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/6.%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%BB%E1%80%99%E1%80%9E%E1%80%AD%E1%80%94%E1%80%B9%E1%80%B8%20%28%E1%80%99%E1%80%AF%E1%80%92%E1%80%B6%E1%80%AF%29.jpg?itok=oanCSCeq,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%A6%E1%80%B8%E1%81%BF%E1%80%99%E1%80%9E%E1%80%AD%E1%80%94%E1%80%B9%E1%80%B8
E2808BE180B1E18092E1819AE18099E180ADE1809AE180A5E180B9E18081E180BAE18099E180B9E180B8,​ေဒၚမိယဥ္ခ်မ္း,ျပည္ေထာင္စုႀကံ႕ခိုင္ေရးႏွင့္ဖြံ႔ျဖိဳးေရးပါတီ,က်ိဳက္မေရာ မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/2.%E1%80%B1%E1%80%92%E1%81%9A%E1%80%99%E1%80%AD%E1%80%9A%E1%80%A5%E1%80%B9%E1%80%81%E1%80%BA%E1%80%99%E1%80%B9%E1%80%B8%20%28%E1%80%80%E1%80%BA%E1%80%AD%E1%80%B3%E1%80%80%E1%80%B9%E1%80%99%E1%80%B1%E1%80%9B%E1%80%AC%29.jpg?itok=obaSKMAH,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E2%80%8B%E1%80%B1%E1%80%92%E1%81%9A%E1%80%99%E1%80%AD%E1%80%9A%E1%80%A5%E1%80%B9%E1%80%81%E1%80%BA%E1%80%99%E1%80%B9%E1%80%B8
E180B1E18092E180ABE18080E180B9E18090E180ACE18085E180ADE180AFE180B8E18099E180ADE180AFE180B8E180B1E180A1E180ACE18084E180B9,ေဒါက္တာစိုးမိုးေအာင္,ျပည္ေထာင္စုႀကံ႕ခိုင္ေရးႏွင့္ဖြံ႔ျဖိဳးေရးပါတီ,ဘီးလင္း မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/25/5.%E1%80%B1%E1%80%92%E1%80%AB%E1%80%80%E1%80%B9%E1%80%90%E1%80%AC%E1%80%85%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%99%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%B1%E1%80%A1%E1%80%AC%E1%80%84%E1%80%B9%20%28%E1%80%98%E1%80%AE%E1%80%B8%E1%80%9C%E1%80%84%E1%80%B9%E1%80%B8%29.jpg?itok=8MHXLRKx,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%B1%E1%80%92%E1%80%AB%E1%80%80%E1%80%B9%E1%80%90%E1%80%AC%E1%80%85%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%99%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%B1%E1%80%A1%E1%80%AC%E1%80%84%E1%80%B9
E180A5E180AEE180B8E180B1E18085E180ACE18098E1809EE180ADE18094E180B9E180B8,ဦးေစာဘသိန္း,ျပည္ေထာင္စုႀကံ႕ခိုင္ေရးႏွင့္ဖြံ႔ျဖိဳးေရးပါတီ,သထံု မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/02/27/9.%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%B1%E1%80%85%E1%80%AC%E1%80%98%E1%80%9E%E1%80%AD%E1%80%94%E1%80%B9%E1%80%B8%20%28%E1%80%9E%E1%80%91%E1%80%B6%E1%80%AF%29.jpg?itok=CTvVKiZi,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%B1%E1%80%85%E1%80%AC%E1%80%98%E1%80%9E%E1%80%AD%E1%80%94%E1%80%B9%E1%80%B8
E180A6E180B8E180B1E180A1E180ACE18084E180B9E1809EE18094E180B9E18294,ဦးေအာင္သန္႔,ျပည္ေထာင္စုႀကံ႕ခိုင္ေရးႏွင့္ဖြံ႔ျဖိဳးေရးပါတီ,ပုသိမ္ႀကီး မဲဆႏၵနယ္,http://www.pyithuhluttaw.gov.mm/sites/default/files/styles/174x220/public/representatives/2015/03/03/16.%E1%80%A5%E1%80%AE%E1%80%B8%E1%80%B1%E1%80%A1%E1%80%AC%E1%80%84%E1%80%B9%E1%80%9E%E1%80%94%E1%80%B9%E1%82%94%20%28%E1%80%95%E1%80%AF%E1%80%9E%E1%80%AD%E1%80%99%E1%80%B9%E1%82%80%E1%80%80%E1%80%AE%E1%80%B8%29.jpg?itok=b0KvdU0l,1,http://www.pyithuhluttaw.gov.mm/?q=representative/%E1%80%A6%E1%80%B8%E1%80%B1%E1%80%A1%E1%80%AC%E1%80%84%E1%80%B9%E1%80%9E%E1%80%94%E1%80%B9%E1%82%94
