area,name,party,term
Bulawayo Central,Dorcas Sibanda,MDC-T,8
Bulawayo East,Thabitha Khumalo,MDC-T,8
Bulawayo South,Edward G. Cross,MDC-T,8
EmaKhandeni-Entubane,Dingilizwe Tshuma,MDC-T,8
Lobengula,Samuel Sipepa,MDC-T,8
Luveve,Reggie Moyo,MDC-T,8
Magwegwe,Anele Ndebele,MDC-T,8
Makokoba,Gorden Moyo,MDC-T,8
Nketa,Phelele Masuku,MDC-T,8
Nkulumane,Tamsanqa Mahlangu,MDC-T,8
Pelandaba-Mpompoma,Bekithemba Nyathi,MDC-T,8
Pumula,Albert Mhlanga,MDC-T,8
Budiriro,Costa Machingauta,MDC-T,8
Chitungwiza North,Godfrey Sithole,MDC-T,8
Chutungwiza South,Christopher Chigumba,ZANU PF,8
Dzivarasekwa,Solomon Madzore,MDC-T,8
Epworth,Amos Midzi,ZANU PF,8
Glen Norah,Webster Maondera,MDC-T,8
Glen View North,Fani Munengani,MDC-T,8
Glen View South,Paul Madzore,MDC-T,8
Harare Cental,Murisi Zwizwai,MDC-T,8
Harare East,Tendai Biti,MDC-T,8
Harare North,Tongesai Mudambo,ZANU PF,8
Harare South,Shadreck Mashayamombe,ZANU PF,8
Harare West,Fungai J Majome,MDC-T,8
Hatfield,Tapiwa Mashakada,MDC-T,8
Highfield East,Erick Murai,MDC-T,8
Highfield West,Moses Manyengawana,MDC-T,8
Kambuzuma,Willias Madzimure,MDC-T,8
Kuwadzana,Lucia Matibenga,MDC-T,8
Kuwadzna East,Nelson Chamisa,MDC-T,8
Mabvuku-Tafara,James Maridadi,MDC-T,8
Mbare,Tendai Savanhu,ZANU PF,8
Mt Pleasant,Jaison Passade,ZANU PF,8
Mufakose,Paurina Mpariwa,MDC-T,8
Southerton,Gift Chimanikire,MDC-T,8
St Mary's,Unganai Tarusenga,MDC-T,8
Sunningdale,Margaret Matienga,MDC-T,8
Warren Park,Elias Mudzuri,MDC-T,8
Zengeza East,Alexio Musundire,MDC-T,8
Zengeza West,Simon Chidhakwa,MDC-T,8
Buhera Central,Ronald Muderedzwa,ZANU PF,8
Buhera North,William Mutomba,ZANU PF,8
Buhera South,Joseph Chinotimba,ZANU PF,8
Buhera West,Oliver Mandipaka,ZANU PF,8
Chimanimani East,Samuel Undenge,ZANU PF,8
Chimanimani West,Munacho Mutezo,ZANU PF,8
Chipinge Central,Raymore Machingura,ZANU PF,8
Chipinge East,Win Busayi Mlambo,ZANU PF,8
Chipinge South,Enock Porusingazi,ZANU PF,8
Chipinge West,Adam Chimwamurombe,ZANU PF,8
Dangamvura-Chikanga,Arnold Tsunga,MDC-T,8
Headlands,Didymua Mutasa,ZANU PF,8
Makoni Central,Patrick Chinamasa,ZANU PF,8
Makoni North,Francis Muchenje,ZANU PF,8
Makoni South,Mandi M. Chimene,ZANU PF,8
Makoni West,Kudzanayi Chipanga,ZANU PF,8
Musikavanhu,Prosper Mutseyami,MDC-T,8
Mutare Central,Innocent Gonese,MDC-T,8
Mutare North,Batsirayi Pemhenayi,ZANU PF,8
Mutare South,Nyasha Chikwinya,ZANU PF,8
Mutare West,Christoper Mushohwe,ZANU PF,8
Mutasa Central,Trevor Saruwaka,MDC-T,8
Mutasa North,Luke Musamvu,ZANU PF,8
Mutasa South,Irene Zindi,ZANU PF,8
Nyanga North,Hubert Nyanhongo,ZANU PF,8
Nyanga South,Supa C. Mandiwanzira,ZANU PF,8
Bindura North,Kenneth S. Musanhi,ZANU PF,8
Bindura South,Toendepi Matangira,ZANU PF,8
Guruve North,Epmarcus Kanhanga,ZANU PF,8
Guruve South,Chriswell Mutematsaka,ZANU PF,8
Mazowe Central,Tabetha Kanengoni,ZANU PF,8
Mazowe North,Edgar Chidavaenzi,ZANU PF,8
Mazowe South,Fortune Chasi,ZANU PF,8
Mazowe West,Kazembe Kazembe,ZANU PF,8
Mbire,David Butau,ZANU PF,8
Mt Darwin East,Christopher Kuruneri,ZANU PF,8
Mt Darwin North,Noveti Muponora,ZANU PF,8
Mt Darwin South,Saviour Kasukuwere,ZANU PF,8
Mt Darwin West,Joice Mujuru,ZANU PF,8
Muzarabani North,Alfred Mufunga,ZANU PF,8
Muzarabani south,Christopher Chitindi,ZANU PF,8
Rushinga,Wonder Mashange,ZANU PF,8
Shamva North,Nicholas Goche,ZANU PF,8
Shamva South,Joseph Mapiki,ZANU PF,8
Chikomba Central,Felix Mhona,ZANU PF,8
Chikomba East,Edgar Mbwembwe,ZANU PF,8
Chikomba West,Michael Bimha,ZANU PF,8
Goromonzi North,Tendayi P. Zhanda,ZANU PF,8
Goromonzi South,Petronella Kadonye,ZANU PF,8
Goromonzi West,Biata B. Nyamupinga,ZANU PF,8
Maramba Pfungwe,Washington Masvaire,ZANU PF,8
Marondera Central,Ray Kaukonde,ZANU PF,8
Marondera West,Ambrose Mutinhiri,ZANU PF,8
Mudzi North,Newten Kachepa,ZANU PF,8
Mudzi South,Jonathan Samukange,INDEPENDENT,8
Mudzi West,Aqualina Katsande,ZANU PF,8
Murehwa North,Tendayi Makunde,ZANU PF,8
Murehwa South,Biggie J. Matiza,ZANU PF,8
Murehwa West,Ladislus Ndoro,ZANU PF,8
Mutoko East,Mubvumbi Mawere,ZANU PF,8
Mutoko North,Mable M. Chinomona,ZANU PF,8
Mutoko South,David Chapfika,ZANU PF,8
Seke,Phineas Chiota,ZANU PF,8
Uzumba,Simbaneuta Mudarikwa,ZANU PF,8
Wedza North,Simon Musanhu,ZANU PF,8
Weda South,Micheal Madanha,ZANU PF,8
Chakari,Aldrin Musiiwa,ZANU PF,8
Chegutu East,Webster Shamu,ZANU PF,8
Chegutu West,Dextor T. Nduna,ZANU PF,8
Chinhoyi,Peter Mataruse,ZANU PF,8
Hurungwe Central,Godfrey Beremauro,ZANU PF,8
Hurungwe East,Sarah Mahoka,ZANU PF,8
Hurungwe North,Reuben Marumahoko,ZANU PF,8
Hurungwe West,Temba Mliswa,ZANU PF,8
Kadoma Central,Fani Phanuel Phiri,ZANU PF,8
Kariba,Isaac Mackenzie,ZANU PF,8
Magunje,Godfrey Gandawa,ZANU PF,8
Makonde,Kindness Paradza,ZANU PF,8
Mhangura,Thomas Maseko,ZANU PF,8
Mhondoro-Mubaira,Sylvester Nguni,ZANU PF,8
Mhondoro-Ngezi,Mike Gava,ZANU PF,8
Muzvezve,Pater Haritotos,ZANU PF,8
Norton,Christopher Mutsvangwa,ZANU PF,8
Sanyati,Blessed Runesu,ZANU PF,8
Zvimba East,Francis Mukwangwariwa,ZANU PF,8
Zvimba North,Ignatius Chombo,ZANU PF,8
Zvimba South,Walter Chidhakwa,ZANU PF,8
Zvimba West,Ziyambi Ziyambi,ZANU PF,8
Bikita East,Kennedy Matimba,ZANU PF,8
Bikita South,Jeppy Jaboon,ZANU PF,8
Bikita West,Munyaradzi Kereke,ZANU PF,8
Chiredzi East,Denford Masiya,ZANU PF,8
Chiredzi North,Robert Mukwena,ZANU PF,8
Chiredzi South,Kalitso Gwanetsa,ZANU PF,8
Chivi Central,Ephraim Gwanonodza,ZANU PF,8
Chivi North,Mathias Tongofa,ZANU PF,8
Chivi South,Mafios Vutete,ZANU PF,8
Gutu Central,Lovemore Matuke,ZANU PF,8
Gutu East,Berta Chikwama,ZANU PF,8
Gutu South,Paul Chimedza,ZANU PF,8
Gutu West,Tongai Muzenda,ZANU PF,8
