id,wikidata
lider,Q5944368
pp,Q1803640
une,Q1237557
creo,Q5780134
eg,Q5375629
gana,Q1062788
urng,Q430960
pri,Q731414
pu,Q2395412
viva,Q6163926
winaq,Q8023686
ucn,Q6979766
