id,name,area,area_id,image,term,source,group,birth_year
seydibayew-azat-nurberdiyewic,Azat Nurberdiýewiç Seýdibaýew,Aşgabat ş.,Köşi,http://mejlis2.bushluk.com/site/assets/files/14480/12-seyidbayew-a_n.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/seydibayew-azat-nurberdiyewic/,"",1982
mammedow-orazmammet-saparmammedowic,Orazmämmet Saparmämmedowiç Mämmedow,Aşgabat ş.,Ruhabat,http://mejlis2.bushluk.com/site/assets/files/14481/13-mammedow-o_s.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/mammedow-orazmammet-saparmammedowic/,Türkmenistanyň senagatçylar we telekeçiler partiýasy,1984
nurberdiyewa-akja-tajiyewna,Akja Täjiýewna Nurberdiýewa,Aşgabat ş.,Abadan,http://mejlis2.bushluk.com/site/assets/files/14482/14---nurberdiyewa-a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/nurberdiyewa-akja-tajiyewna/,Türkmenistanyň Demokratik partiýasy,1957
amanow-bekmyrat-annaberdiyewic,Bekmyrat Annaberdiýewiç Amanow,Aşgabat ş.,Gökje,http://mejlis2.bushluk.com/site/assets/files/14483/15-amanow-b_a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/amanow-bekmyrat-annaberdiyewic/,"",1966
arabow-amandurdy-annagurbanowic,Amandurdy Annagurbanowiç Arabow,Ahal welaýaty,Arçman,http://mejlis2.bushluk.com/site/assets/files/14484/16-arabow-a_g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/arabow-amandurdy-annagurbanowic/,"",1960
ilgeldiyew-amangeldi-amanberdiyewic,Amangeldi Amanberdiýewiç Ilgeldiýew,Ahal welaýaty,Baharly,http://mejlis2.bushluk.com/site/assets/files/14485/17-ilgeldiyew-a_a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ilgeldiyew-amangeldi-amanberdiyewic/,"",1979
komekow-nury-babayewic,Nury Babaýewiç Kömekow,Ahal welaýaty,Gökdepe,http://mejlis2.bushluk.com/site/assets/files/14486/18--komekow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/komekow-nury-babayewic/,"",1980
ishangulyyew-resul-gurbangulyyewic,Resul Gurbangulyýewiç Işangulyýew,Ahal welaýaty,Yzgant,http://mejlis2.bushluk.com/site/assets/files/14487/19--isangulyyew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ishangulyyew-resul-gurbangulyyewic/,"",1974
atalyyew-bekmyrat-sahetmyradowic,Bekmyrat Sähetmyradowiç Atalyýew,Ahal welaýaty,Derweze,http://mejlis2.bushluk.com/site/assets/files/14488/20-atalyyew-b_s.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/atalyyew-bekmyrat-sahetmyradowic/,"",1976
babayew-kasymguly-gulmyradowic,Kasymguly Gulmyradowiç Babaýew,Ahal welaýaty,Änew,http://mejlis2.bushluk.com/site/assets/files/14489/21-babayew-k_g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babayew-kasymguly-gulmyradowic/,Türkmenistanyň Demokratik partiýasy,1966
orayew-mowlam,Möwlam Öräýew,Ahal welaýaty,Ak bugdaý,http://mejlis2.bushluk.com/site/assets/files/14490/22--orayew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/orayew-mowlam/,"",1961
gojenowa-ayshat-muhametdurdyyewna,Aýşat Muhametdurdyýewna Göjenowa,Ahal welaýaty,Kaka,http://mejlis2.bushluk.com/site/assets/files/14491/23--gojenowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gojenowa-ayshat-muhametdurdyyewna/,"",1973
sapardurdyyewa-altynjemal-muhammedowna,Altynjemal Muhammedowna Sapardurdyýewa,Ahal welaýaty,Duşak,http://mejlis2.bushluk.com/site/assets/files/14492/24-sapardurdyyewa-a_m.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/sapardurdyyewa-altynjemal-muhammedowna/,"",1973
caryyew-ahmet-amangeldiyewic,Ahmet Amangeldiýewiç Çaryýew,Ahal welaýaty,Tejen,http://mejlis2.bushluk.com/site/assets/files/14493/25--caryyew.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/caryyew-ahmet-amangeldiyewic/,"",1974
ishanow-shatlyk-gurbanowic,Şatlyk Gurbanowiç Işanow,Ahal welaýaty,Berkarar,http://mejlis2.bushluk.com/site/assets/files/14494/26-isanow-s_g.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ishanow-shatlyk-gurbanowic/,"",1976
hudaynazarow-pirnazar,Pirnazar Hudaýnazarow,Ahal welaýaty,Göniamaşa,http://mejlis2.bushluk.com/site/assets/files/14495/27--hudaynazarow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hudaynazarow-pirnazar/,"",1958
myradowa-bayramsoltan,Baýramsoltan Myradowa,Ahal welaýaty,Babadaýhan,http://mejlis2.bushluk.com/site/assets/files/14496/28--myradowa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/myradowa-bayramsoltan/,"",1969
bayramow-shageldi,Şageldi Baýramow,Ahal welaýaty,Altyn Asyr,http://mejlis2.bushluk.com/site/assets/files/14497/29-bayramow-s.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/bayramow-shageldi/,Türkmenistanyň Demokratik partiýasy,1965
gylycyazowa-bahar-durdyyewna,Bahar Durdyýewna Gylyçýazowa,Ahal welaýaty,Sarahs,http://mejlis2.bushluk.com/site/assets/files/14498/30-gylycyazowa-bd.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gylycyazowa-bahar-durdyyewna/,"",1977
