name,wikiname,party,term,source
Aline Hanson,Aline Hanson,Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Guillaume Arnell,Guillaume Arnell,Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Ramona Connor,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Wendel Cocks,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Rosette Gumbs-Lake,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Daniel Gibbs,Daniel Gibbs,Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
René-Jean Duret,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Jeanne Rogers-Vanterpool,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Alain Gros-Desormeaux,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Rolande Questel,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Louis Fleming,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Nadine Jermin-Paines,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Jean-David Richardson,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Josiane Carty-Nettleford,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
José Vilier,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Valérie Picotin-Fontrose,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Antero Santos,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Jean-Philippe Richardson,"",Rassemblement Responsabilité Réussite,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Dominique Aubert,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Jules Charville,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Claire Manuel-Philips,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Christophe Henocq,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
Maud Ascent-Gibbs,"",Team Daniel Gibbs 2012,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Martin#Composition_du_conseil_territorial
