name,image,area,id,party,type,term,source
Gustavo Rodolfo Serrano Ossorio,http://www.diputados.bo/script/imagenes/Santa%20Cruz/serrano.og.jpg,Plurinominal,serrano.og,UD,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Benita Suarez Barba,http://www.diputados.bo/script/imagenes/Santa%20Cruz/suarez.bb.jpg,C - 57,suarez.bb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Mario Condori,http://www.diputados.bo/script/imagenes/Santa%20Cruz/condori.m.jpg,C - 57,condori.m,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Avilio Vaca Achico,http://www.diputados.bo/script/imagenes/Santa%20Cruz/vaca.aa.jpg,,vaca.aa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Marcela Chuviru Chuve,http://www.diputados.bo/script/imagenes/Santa%20Cruz/chuviru.cm.jpg,,chuviru.cm,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Kathya Scarlett Zambrana Cardona,http://www.diputados.bo/script/imagenes/Santa%20Cruz/zambrana.ck.jpg,Plurinominal,zambrana.ck,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Rosa Alvarez Choquetupa,http://www.diputados.bo/script/imagenes/Potosi/alvarez.cr.jpg,C - 39,alvarez.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Anacleto Parada Cespedes,http://www.diputados.bo/script/imagenes/Potosi/parada.ca.jpg,C - 39,parada.ca,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Virginia Anze Nina,http://www.diputados.bo/script/imagenes/Potosi/anze.nv.jpg,Plurinominal,anze.nv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Pastor Orcko Guzmán,http://www.diputados.bo/script/imagenes/Potosi/orcko.gp.jpg,Plurinominal,orcko.gp,MAS,Suplente,2015,http://www.diputados.bo/script/dip-index.php
Gonzalo Guillermo Barrientos Alvarado,http://www.diputados.bo/script/imagenes/Potosi/barrientos.ag.jpg,C - 33,barrientos.ag,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
