name,wikiname,party,parish,area,area_id,term,source
Robert Pickersgill,"",People's National Party,St. Catherine,St. Catherine North West,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Fitz Jackson,"",People's National Party,St. Catherine,St. Catherine South,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Andrew Wheatley,"",Jamaica Labour Party,St. Catherine,St. Catherine South Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Colin Fagan,"",People's National Party,St. Catherine,St. Catherine South East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Everald Warmington,Everald Warmington,Jamaica Labour Party,St. Catherine,St. Catherine South West,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Kenneth Baugh,Kenneth Baugh,Jamaica Labour Party,St. Catherine,St. Catherine West Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_west_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Raymond Pryce,"",People's National Party,St. Elizabeth,St. Elizabeth North East,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
William J.C. Hutchinson,"",Jamaica Labour Party,St. Elizabeth,St. Elizabeth North West,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Richard Parchment,"",People's National Party,St. Elizabeth,St. Elizabeth South East,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Hugh Buchanan,"",People's National Party,St. Elizabeth,St. Elizabeth South West,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Lloyd B. Smith,"",People's National Party,St. James,St. James Central,ocd-division/country:ja/parish:st._james/constituency:st._james_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Edmund Bartlett,Edmund Bartlett,Jamaica Labour Party,St. James,St. James East Central,ocd-division/country:ja/parish:st._james/constituency:st._james_east_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Horace Chang,Horace Chang,Jamaica Labour Party,St. James,St. James North West,ocd-division/country:ja/parish:st._james/constituency:st._james_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Derrick Kellier,"",People's National Party,St. James,St. James South,ocd-division/country:ja/parish:st._james/constituency:st._james_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Sharon Ffolkes-Abrahams,"",People's National Party,St. James,St. James West Central,ocd-division/country:ja/parish:st._james/constituency:st._james_west_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Morais Guy,"",People's National Party,St. Mary,St. Mary Central,ocd-division/country:ja/parish:st._mary/constituency:st._mary_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Winston Green,Winston Green,People's National Party,St. Mary,St. Mary South East,ocd-division/country:ja/parish:st._mary/constituency:st._mary_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Joylan Silvera,"",People's National Party,St. Mary,St. Mary West,ocd-division/country:ja/parish:st._mary/constituency:st._mary_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Fenton Ferguson,Fenton Ferguson,People's National Party,St. Thomas,St. Thomas East,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
James Robertson,James Robertson (Jamaican politician),Jamaica Labour Party,St. Thomas,St. Thomas West,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Patrick Atkinson,"",People's National Party,Trelawny,Trelawny North,ocd-division/country:ja/parish:trelawny/constituency:trelawny_north,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Marisa Dalrymple-Philibert,"",Jamaica Labour Party,Trelawny,Trelawny South,ocd-division/country:ja/parish:trelawny/constituency:trelawny_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Roger Clarke,Roger Clarke (politician),People's National Party,Westmoreland,Westmoreland Central,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Luther Buchanan,"",People's National Party,Westmoreland,Westmoreland East,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
K. Wykeham McNeil,"",People's National Party,Westmoreland,Westmoreland West,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
