name,party,wikiname,constituency,term,source,id
Pavlina Hoti,Democratic Party,Pavlina Hoti,Lezhë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",pavlina_hoti
Rrajmond Hoxha,Democratic Party,Rrajmond Hoxha,Lezhë County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",rrajmond_hoxha
Arenca Trashani,Democratic Party,Arenca Trashani,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arenca_trashani
Astrit Bushati,Democratic Party,Astrit Bushati,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",astrit_bushati
Astrit Beci,Socialist Party,Astrit Beci,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",astrit_beci
Gëzim Dibra,Democratic Party,Gëzim Dibra,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",gëzim_dibra
Gjok Uldedaj,Democratic Party,Gjok Uldedaj,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",gjok_uldedaj
Ilir Beqja,Socialist Party,Ilir Beqja,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ilir_beqja
Jozefina Topalli,Democratic Party,Jozefina Topalli,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",jozefina_topalli
Ndue Paluca,Democratic Party,Ndue Paluca,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ndue_paluca
Ndue Kola,Socialist Party,Ndue Kola,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",ndue_kola
Paulin Sterkaj,Democratic Party,Paulin Sterkaj,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",paulin_sterkaj
Tom Doshi,Socialist Party,Tom Doshi,Shkodër County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",tom_doshi
Aldo Bumçi,Democratic Party,Aldo Bumçi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",aldo_bumçi
Andis Harasani,Socialist Party,Andis Harasani,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",andis_harasani
Arben Imami,Democratic Party,Arben Imami,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",arben_imami
Artan Gaçi,Socialist Party,Artan Gaçi,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",artan_gaçi
Besnik Baraj,Socialist Party,Besnik Baraj,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",besnik_baraj
Bujar Nishani,Democratic Party,Bujar Nishani,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",bujar_nishani
Dashamir Peza,Socialist Party,Dashamir Peza,Tirana County,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",dashamir_peza
