id,name,image,birth_date,area,faction,term,homepage,identifier__kuvendi
15774,Shkëlqim SELAMI,http://www.parlament.al/web/pub/Person_m_38_0.gif,1967-12-02,"",LSI,8,http://www.parlament.al/web/SELAMI_Shkelqim_15774_1.php,15774
11193,Eduard Shalsi,http://www.parlament.al/web/pub/Person_m_38_0.gif,1968-04-01,"",PS,8,http://www.parlament.al/web/SHALSI_Eduard_11193_1.php,11193
15761,Dashamir SHEHI,http://www.parlament.al/web/pub/Person_m_38_0.gif,1957-10-28,"",PD,8,http://www.parlament.al/web/SHEHI_Dashamir_15761_1.php,15761
20681,Mira SHEHU,http://www.parlament.al/web/pub/mirashehu_23424_0.png,1973-01-19,Vlorë,PS,8,http://www.parlament.al/web/SHEHU_Mira_20681_1.php,20681
10736,Sherefedin Shehu,http://www.parlament.al/web/pub/sherfedin_shehu_13982_0.jpg,1956-05-25,"",PD,8,http://www.parlament.al/web/SHEHU_Sherefedin_10736_1.php,10736
15835,Ylli SHEHU,http://www.parlament.al/web/pub/Person_m_38_0.gif,1981-02-24,"",PR,8,http://www.parlament.al/web/SHEHU_Ylli_15835_1.php,15835
16280,Esmeralda SHKJAU,http://www.parlament.al/web/pub/1544379_604872272918118_447336306_n_15099_0.jpg,1983-07-24,"",PS,8,http://www.parlament.al/web/SHKJAU_Esmeralda_16280_1.php,16280
11168,Klodiana Spahiu,http://www.parlament.al/web/pub/klodjana_spahiu_14920_0.jpg,1973-05-22,", Durrës",PS,8,http://www.parlament.al/web/SPAHIU_Klodiana_11168_1.php,11168
15758,Përparim SPAHIU,http://www.parlament.al/web/pub/perparim_spahiu_14924_0.jpg,1971-01-27,"",LSI,8,http://www.parlament.al/web/SPAHIU_Perparim_15758_1.php,15758
10816,Edmond Spaho,http://www.parlament.al/web/pub/spaho_e_164_0.jpg,1958-11-14,Korçë,PD,8,http://www.parlament.al/web/SPAHO_Edmond_10816_1.php,10816
10746,Paulin Sterkaj,http://www.parlament.al/web/pub/sterkaj_p_8101_0.jpg,1961-07-05,Shkodër,PS,8,http://www.parlament.al/web/STERKAJ_Paulin_10746_1.php,10746
10839,Gent Strazimiri,http://www.parlament.al/web/pub/strazimiri_g_8102_0.jpg,1972-10-06,Durrës,PD,8,http://www.parlament.al/web/STRAZIMIRI_Gent_10839_1.php,10839
16287,Rakip SULI,http://www.parlament.al/web/pub/rakip_suli_15108_0.jpg,1965-09-22,"",PS,8,http://www.parlament.al/web/SULI_Rakip_16287_1.php,16287
15812,Jorida TABAKU,"",1979-07-01,"",PD,8,http://www.parlament.al/web/TABAKU_Jorida_15812_1.php,15812
10812,Myqerem Tafaj,http://www.parlament.al/web/pub/tafaj_m_8103_0.jpg,1957-11-14,Tiranë,PD,8,http://www.parlament.al/web/TAFAJ_Myqerem_10812_1.php,10812
10768,Dashamir Tahiri,http://www.parlament.al/web/pub/tahiri_d_8104_0.jpg,1966-09-16,Vlorë,PDIU,8,http://www.parlament.al/web/TAHIRI_Dashamir_10768_1.php,10768
10742,Vangjel Tavo,http://www.parlament.al/web/pub/tavo_v_170_0.jpg,1969-12-17,Gjirokastër,LSI,8,http://www.parlament.al/web/TAVO_Vangjel_10742_1.php,10742
11163,Fatmir Toci,http://www.parlament.al/web/pub/fatmir_toci_14916_0.jpg,1958-04-24,"",PS,8,http://www.parlament.al/web/TOCI_Fatmir_11163_1.php,11163
10841,Jozefina Topalli,http://www.parlament.al/web/pub/jozefina_topalli_5002_0.jpg,"","","",8,http://www.parlament.al/web/TOPALLI_Jozefina_Coba_10841_1.php,10841
20270,Shkëlqim TROPLINI,http://www.parlament.al/web/pub/troplini_22627_0.jpg,1966-10-01,Krujë,PS,8,http://www.parlament.al/web/TROPLINI_Shkelqim_20270_1.php,20270
16374,Musa ULQINI,http://www.parlament.al/web/pub/musa_ulqini_15275_0.jpg,1959-05-21,"",PS,8,http://www.parlament.al/web/ULQINI_Musa_16374_1.php,16374
15822,Petrit VASILI,http://www.parlament.al/web/pub/petrit_vasili_14041_0.jpg,1958-06-04,"",LSI,8,http://www.parlament.al/web/VASILI_Petrit_15822_1.php,15822
16236,Astrit VELIAJ,http://www.parlament.al/web/pub/Person_m_38_0.gif,1958-04-08,"",PD,8,http://www.parlament.al/web/VELIAJ_Astrit_16236_1.php,16236
10762,Albana Vokshi,http://www.parlament.al/web/pub/vokshi_a_8109_0.jpg,1971-02-24,Durrës,PD,8,http://www.parlament.al/web/VOKSHI_Albana_10762_1.php,10762
11175,Olta Xhacka,http://www.parlament.al/web/pub/olta_xhacka_14922_0.jpg,1979-12-25,"",PS,8,http://www.parlament.al/web/XHACKA_Olta_11175_1.php,11175
10771,Fatmir Xhafaj,http://www.parlament.al/web/pub/xhafaj_f_179_0.jpg,1959-05-17,Tiranë,PS,8,http://www.parlament.al/web/XHAFAJ_Fatmir_10771_1.php,10771
15754,Ilir XHAKOLLI,http://www.parlament.al/web/pub/ilir_xhakolli_14919_0.jpg,1962-09-25,"",PS,8,http://www.parlament.al/web/XHAKOLLI_Ilir_15754_1.php,15754
11199,Fidel Ylli,http://www.parlament.al/web/pub/fidel_ylli_14917_0.jpg,1962-09-01,Berat,PS,8,http://www.parlament.al/web/YLLI_Fidel_11199_1.php,11199
16279,Alban ZENELI,http://www.parlament.al/show_image.php?file_id=15098,1969-05-04,"","",8,http://www.parlament.al/web/ZENELI_Alban_16279_1.php,16279
