name,wikiname,area,party,term,source,id
Gramoz Ruçi,Gramoz Ruçi,Fier,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,gramoz_ruçi
Anduel Xhindi,"",Fier,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,anduel_xhindi
Majlinda Bufi,"",Fier,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,majlinda_bufi
Bashkim Fino,Bashkim Fino,Fier,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,bashkim_fino
Ervin Koçi,Ervin Koçi,Fier,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,ervin_koçi
Pirro Lutaj,"",Fier,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,pirro_lutaj
Bedri Mihaj,"",Fier,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,bedri_mihaj
Kozma Dashi,Kozma Dashi,Fier,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,kozma_dashi
Mesila Doda,Mesila Doda,Fier,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,mesila_doda
Enkelejd Alibeaj,Enkelejd Alibeaj,Fier,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,enkelejd_alibeaj
Shpëtim Idrizi,Shpëtim Idrizi,Fier,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,shpëtim_idrizi
Petrit Vasili,"",Fier,LSI,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,petrit_vasili
Robert Bitri,"",Fier,LSI,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,robert_bitri
Omer Mamo,"",Fier,PDIU,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,omer_mamo
Anastas Angjeli,"",Gjirokastër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,anastas_angjeli
Dashamir Kamberi,"",Gjirokastër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,dashamir_kamberi
Vladimir Kosta,"",Gjirokastër,PS,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,vladimir_kosta
Genc Ruli,Genc Ruli,Gjirokastër,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,genc_ruli
Vangjel Tavo,"",Gjirokastër,LSI,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,vangjel_tavo
Edmond Spaho,Edmond Spaho,Korçë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,edmond_spaho
Eleina Qirici,Eleina Qirici,Korçë,PD,8,https://sq.wikipedia.org/wiki/Kuvendi_i_Shqip%C3%ABris%C3%AB,eleina_qirici
